benchmark,dataset,train_size,subset,method,n_seeds,seeds,rmse_mean,mean_crps_mean,coverage_90_mean,mean_width_90_mean,coverage_95_mean,mean_width_95_mean,wall_sec_mean,rmse_std,mean_crps_std,coverage_90_std,mean_width_90_std,coverage_95_std,mean_width_95_std,wall_sec_std,source,split_type,standardize_x,standardize_y,n,source_artifact
,Appliances Energy Prediction,1000,all,lmjgp_supervised,5,,106.53656283271921,42.116991424560545,0.8140000000000001,135.30964282575374,0.8469999999999999,161.23138396878159,81.93586465999833,6.210784090523916,3.506710134153769,0.011135528725660017,13.814298590673763,0.016309506430300106,16.460752048547988,2.424886476832581,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
,Appliances Energy Prediction,1000,all,lmjgp_supervised_residual_ridge,5,,100.67853700008281,42.08302307128906,0.8099999999999999,142.78167800513773,0.8559999999999999,170.13486304001754,79.28241312000318,8.352232458317866,3.8912878426476043,0.016124515496597068,21.550051461197338,0.01019803902718558,25.678470130629847,1.5301105594812798,baseline,random_row,true,true,35,experiments/uci/smalltrain_multiseed_train1000_wine_appliances_5seeds
uci,Appliances Energy Prediction,1000,all,deep_mahalanobis_gp,5,"0,1,2,3,4",103.66072161878355,43.93319442470672,0.8859999999999999,189.95860075467982,0.9040000000000001,226.3496337499822,591.9643370199996,7.388176355618453,3.590058724578056,0.013928388277184131,19.227915227582397,0.016248076809271934,22.91147414356683,47.622955758770104,deep_mahalanobis_gp_npz,,,,,
uci,Appliances Energy Prediction,200,all,deep_mahalanobis_gp,5,"0,1,2,3,4",107.31013201938872,45.37894802691588,0.873,174.19106446428532,0.897,207.56145542959402,121.0976909,9.114913584846478,5.595931476449455,0.02767670500619612,22.21005217867268,0.024207436873820428,26.464909492057863,9.282421881726519,deep_mahalanobis_gp_npz,,,,,
uci,Appliances Energy Prediction,500,all,deep_mahalanobis_gp,5,"0,1,2,3,4",104.96737075678189,44.70083399799552,0.893,198.28820716768718,0.9099999999999999,236.27497197302273,300.7777316199998,7.898619332189063,3.1947405935282847,0.012489995996796807,17.456615228642477,0.017029386365926415,20.800840013664093,8.17053427042952,deep_mahalanobis_gp_npz,,,,,
uci,Parkinsons Telemonitoring,1000,all,deep_mahalanobis_gp,5,"0,1,2,3,4",8.948860178484008,5.819298666969746,0.518,14.250867840296578,0.612,16.98095639500052,481.63203440000035,0.8537619174777092,0.8873661365842012,0.13698905065734268,0.9419566052067283,0.13178011989674315,1.1224105239239452,76.03080497383537,deep_mahalanobis_gp_npz,,,,,
uci,Parkinsons Telemonitoring,200,all,deep_mahalanobis_gp,5,"0,1,2,3,4",8.673106239677661,5.489775488890851,0.584,16.694830513629654,0.68,19.893117538585592,116.29389203999999,0.5200918147238447,0.5415287816754278,0.060942595940770325,0.649342604675354,0.052057660339281484,0.7737394367120008,8.06396185446693,deep_mahalanobis_gp_npz,,,,,
uci,Parkinsons Telemonitoring,500,all,deep_mahalanobis_gp,5,"0,1,2,3,4",9.028607379545585,5.831703063926623,0.5439999999999999,15.448990217733265,0.625,18.408607263363585,246.7798749399999,1.039695862247178,1.0569519975824344,0.14256226709757389,1.5139244442240642,0.14477568856683087,1.8039522407190633,15.174978673281162,deep_mahalanobis_gp_npz,,,,,
uci,Wine Quality,1000,all,deep_mahalanobis_gp,5,"0,1,2,3,4",0.710563971767612,0.4081611020927408,0.741,1.5064306938060223,0.8219999999999998,1.79502288634501,316.81081167999946,0.024204592756719774,0.016836022971581058,0.014966629547095779,0.04225842501591962,0.020639767440550263,0.050354019176827615,26.75759340815862,deep_mahalanobis_gp_npz,,,,,
uci,Wine Quality,200,all,deep_mahalanobis_gp,5,"0,1,2,3,4",0.7332951700876903,0.41116640541771854,0.8300000000000001,1.8567903251454319,0.8709999999999999,2.212502136662663,55.307635760000004,0.021183170925029336,0.010684094535601908,0.038600518131237556,0.09282218746038039,0.022891046284519215,0.11060445829806252,8.36846188257294,deep_mahalanobis_gp_npz,,,,,
uci,Wine Quality,500,all,deep_mahalanobis_gp,5,"0,1,2,3,4",0.7255747713345235,0.4148348655281507,0.759,1.5935015780755895,0.8360000000000001,1.898774244200903,154.25004932000002,0.04520577439928511,0.033071077492094675,0.028530685235374238,0.03825776170970274,0.024779023386727723,0.0455869348199122,14.717105687236183,deep_mahalanobis_gp_npz,,,,,
