benchmark,train_size,dataset,subset,seed,method,status,n_train,n_test,Q,n_final,n_candidate,n_vem,standardize_x,standardize_y,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,best_loss,gamma_mean,gamma_entropy,kl_coeff,C_std_median,raw_mean_crps,raw_rmse
uci,500,Appliances Energy Prediction,all,4,vem_em_learned_qw,ok,500,200,5,35,100,50,1,1,raw,200,0,98.94378515917387,38.82526397705078,76.58586499997182,0.76,87.43014498600985,0.795,104.17944340329446,1.561528799997177,75.02433619997464,80.9581527709961,0.7553471326828003,0.5296347737312317,122.79035186767578,0.05210757628083229,38.82526397705078,98.94378515917387
uci,1000,Wine Quality,all,0,vem_em_learned_qw,ok,1000,200,3,25,100,50,1,0,raw,200,0,0.816909708447054,0.47226542234420776,41.760959499981254,0.715,1.5656315836866996,0.77,1.8655650975896052,1.440193799964618,40.320765700016636,95.56143951416016,0.7039328813552856,0.5483624935150146,79.78141784667969,0.04272501915693283,0.47226542234420776,0.816909708447054
uci,1000,Wine Quality,all,1,vem_em_learned_qw,ok,1000,200,3,25,100,50,1,0,raw,200,0,0.7611691889172204,0.4534832239151001,42.625883399974555,0.71,1.4998485585039105,0.775,1.7871797883804696,1.5075231000082567,41.1183602999663,93.3211898803711,0.7053271532058716,0.5516090393066406,79.47781372070312,0.04368705302476883,0.4534832239151001,0.7611691889172204
uci,1000,Wine Quality,all,2,vem_em_learned_qw,ok,1000,200,3,25,100,50,1,0,raw,200,0,0.7982001048498767,0.43683746457099915,42.722363400040194,0.73,1.4428518385470348,0.77,1.719264007594897,1.611836800002493,41.1105266000377,92.0688705444336,0.7079582810401917,0.5532081127166748,80.47721862792969,0.0424695760011673,0.43683746457099915,0.7982001048498767
uci,1000,Wine Quality,all,3,vem_em_learned_qw,ok,1000,200,3,25,100,50,1,0,raw,200,0,0.7563259669920662,0.4163864850997925,46.70711419993313,0.75,1.5129809423576097,0.805,1.8028279889027925,1.6804639999754727,45.02665019995766,92.62821197509766,0.7103083729743958,0.5480591654777527,79.45064544677734,0.0433182455599308,0.4163864850997925,0.7563259669920662
uci,1000,Wine Quality,all,4,vem_em_learned_qw,ok,1000,200,3,25,100,50,1,0,raw,200,0,0.7177433944623902,0.4054683744907379,44.2952101000119,0.78,1.6628849500497587,0.82,1.9814496312183827,1.5399126000120305,42.75529749999987,94.49742126464844,0.7030195593833923,0.5492300391197205,79.46012115478516,0.04338998720049858,0.4054683744907379,0.7177433944623902
uci,1000,Parkinsons Telemonitoring,all,0,vem_em_learned_qw,ok,1000,200,5,25,100,50,1,0,raw,200,0,10.665830845814286,7.815040111541748,68.70219989999896,0.28,11.47700388114843,0.33,13.675693623370048,1.6463049000012688,67.05589499999769,83.53829956054688,0.7449844479560852,0.5364526510238647,125.20771026611328,0.04864256829023361,7.815040111541748,10.665830845814286
uci,1000,Parkinsons Telemonitoring,all,1,vem_em_learned_qw,ok,1000,200,5,25,100,50,1,0,raw,200,0,10.039581268205234,6.8192830085754395,67.41088899999158,0.415,12.038158608123556,0.475,14.344350722460423,1.6374269999796525,65.77346200001193,78.97904205322266,0.7515485286712646,0.5424953103065491,126.27003479003906,0.048719946295022964,6.8192830085754395,10.039581268205234
uci,1000,Parkinsons Telemonitoring,all,2,vem_em_learned_qw,ok,1000,200,5,25,100,50,1,0,raw,200,0,8.20863747474012,4.98836088180542,69.38469540001824,0.515,10.900799020761747,0.565,12.989103184214727,1.538077000004705,67.84661840001354,70.40413665771484,0.7642850279808044,0.5349260568618774,123.54595184326172,0.05044413357973099,4.98836088180542,8.20863747474012
uci,1000,Parkinsons Telemonitoring,all,3,vem_em_learned_qw,ok,1000,200,5,25,100,50,1,0,raw,200,0,9.939347782368985,6.826963424682617,67.16941309999675,0.35,12.200163231606139,0.44,14.537391137821471,1.6965901000075974,65.47282299998915,84.3430404663086,0.7387372851371765,0.5381371974945068,125.95305633544922,0.04888368770480156,6.826963424682617,9.939347782368985
uci,1000,Parkinsons Telemonitoring,all,4,vem_em_learned_qw,ok,1000,200,5,25,100,50,1,0,raw,200,0,10.801586653829215,7.7015275955200195,69.0035857000039,0.31,10.492238186391106,0.355,12.50227292300528,1.5058617999893613,67.49772390001453,77.71585845947266,0.7561885714530945,0.5397651195526123,123.00883483886719,0.051231011748313904,7.7015275955200195,10.801586653829215
uci,1000,Appliances Energy Prediction,all,0,vem_em_learned_qw,ok,1000,200,5,35,100,50,1,1,raw,200,0,94.37244790910461,37.115169525146484,73.64764879998984,0.775,99.23792486364484,0.815,118.24928093676156,1.5841755999717861,72.06347320001805,80.49774169921875,0.7545835971832275,0.5221346616744995,119.05180358886719,0.05440467596054077,37.115169525146484,94.37244790910461
uci,1000,Appliances Energy Prediction,all,1,vem_em_learned_qw,ok,1000,200,5,35,100,50,1,1,raw,200,0,111.73014975542395,45.222415924072266,74.1025273000123,0.72,83.42162973019343,0.75,99.40300287135443,1.59497440000996,72.50755290000234,76.83104705810547,0.7559884190559387,0.5231020450592041,115.66647338867188,0.05780886858701706,45.222415924072266,111.73014975542395
uci,1000,Appliances Energy Prediction,all,2,vem_em_learned_qw,ok,1000,200,5,35,100,50,1,1,raw,200,0,122.47942198538512,49.33036804199219,76.14635570003884,0.66,106.44432203358636,0.73,126.83623279676036,1.5923571000457741,74.55399859999306,78.25251770019531,0.7526625394821167,0.5214933156967163,119.46177673339844,0.052790507674217224,49.33036804199219,122.47942198538512
uci,1000,Appliances Energy Prediction,all,3,vem_em_learned_qw,ok,1000,200,5,35,100,50,1,1,raw,200,0,119.6718295782607,49.823089599609375,75.66237870004261,0.695,107.88840954448897,0.755,128.55696919878233,1.6014441000297666,74.06093460001284,80.48822021484375,0.7443156242370605,0.5217482447624207,122.12905883789062,0.051217783242464066,49.823089599609375,119.6718295782607
uci,1000,Appliances Energy Prediction,all,4,vem_em_learned_qw,ok,1000,200,5,35,100,50,1,1,raw,200,0,104.58489046838736,39.634796142578125,72.4639562999946,0.735,84.41728480944077,0.805,100.58939907365112,1.7101063000154682,70.75384999997914,79.25065612792969,0.7537599802017212,0.5251195430755615,121.06425476074219,0.05303318426012993,39.634796142578125,104.58489046838736
pdebench,,PDEBench-Burgers,all,0,vem_em_learned_qw,ok,1600,400,3,25,100,50,,,raw,400,0,0.7668695880948311,0.2573571503162384,78.116204900085,0.7925,0.6405158322401893,0.8425,0.7632216886344912,2.198360100039281,75.91784480004571,73.12352752685547,0.7559008598327637,0.5117336511611938,68.81185150146484,0.05929084122180939,,
