benchmark,dataset,train_size,subset,method_group,method_raw,n_seeds,status,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std,wall_sec_mean,wall_sec_std,source_file
pdebench,PDEBench Burgers ShockJump,200,near_threshold,xgboost,xgb_bootstrap,5,ok,1.1142798439590484,0.06147459542080475,0.5842842102050781,0.04144418874245365,0.8283018867924529,0.031231972372163855,2.2211765246917343,0.13651979281122428,0.8716981132075471,0.02117919275532419,2.6466950738772823,0.16267336661608267,1.482056660001399,0.38280050127270576,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,near_threshold,dkl,dkl_svgp,5,ok,1.341154432296753,0.12586596759206337,0.8101783871650696,0.06200656907944424,0.5471698113207547,0.06370544534390238,1.501259192171117,0.2039667393118424,0.5792452830188679,0.057415562470577115,1.7888606620690477,0.2430413603648125,0.7615701799993986,0.16032191942237783,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,near_threshold,dmgp,deep_mahalanobis_gp,5,ok,1.1040656251911936,0.1502079237893458,0.5905533617506779,0.10388064257326025,0.7566037735849057,0.09829446247268761,2.2439522234778453,0.16621547839397427,0.8169811320754716,0.08492662215039172,2.6738339928741306,0.1980579584634961,88.23708062,12.296937993749097,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,near_threshold,lmjgp,lmjgp_predict_vi,5,ok,1.2821435928344727,0.060388813987188365,0.7142277956008911,0.042981195184092186,0.660377358490566,0.05565238190095329,2.576988350615347,0.3270783933769476,0.7264150943396226,0.0536990546066329,3.07067101474943,0.3897379442377309,593.7120631800033,8.439915333452436,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,200,near_threshold,self_cem,,,missing_in_summary_sources,,,,,,,,,,,,,,,
pdebench,PDEBench Burgers ShockJump,500,all,xgboost,xgb_bootstrap,5,ok,0.7241912110219431,0.007428343257300061,0.32055732011795046,0.005097614315594871,0.9269999999999999,0.009137833441248532,1.7830245526581798,0.05787873810357345,0.9404999999999999,0.006964194138592044,2.1246047973506252,0.0689667702310249,3.7044126799984953,1.5384199478907061,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,500,all,dkl,dkl_svgp,5,ok,0.9363529086112976,0.03237571445227665,0.509398591518402,0.056554785848126475,0.6054999999999999,0.14788847149118822,1.2275174197039012,0.2661550231397877,0.6505000000000001,0.14406075107398267,1.46267722160433,0.3171432710552055,1.1231898600017303,0.25551222633846044,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,500,all,dmgp,deep_mahalanobis_gp,5,ok,0.7307916046946052,0.012905269975846616,0.3202370916418547,0.010695739719052374,0.9399999999999998,0.0022360679774997916,1.876808887109935,0.08041820500903164,0.9460000000000001,0.0037416573867739447,2.2363557245016175,0.09582420158028473,201.86025664000005,14.614521278165759,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,500,all,lmjgp,lmjgp_predict_vi,5,ok,0.7894844532012939,0.02155397992558467,0.2934047937393188,0.010823205964919733,0.8390000000000001,0.023377339455121923,1.2002629253564616,0.06448044699226274,0.8895,0.009,1.4302014885284113,0.07683319156252646,692.17290776,61.87791063546774,experiments\pdebench\dmgp_burgers_train200_500_1000_5seeds_20260517\combined\aggregate_with_dmgp.csv
pdebench,PDEBench Burgers ShockJump,500,all,self_cem,,,missing_in_summary_sources,,,,,,,,,,,,,,,
