benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,pred_sec,init_inlier_rate,final_inlier_rate,label_change_rate,mean_noise_var,init_init_sec,init_meanw_cem_failed,init_meanw_cem_inlier_rate,Q,n_neighbors,status
pdebench_burgers,PDEBench Burgers ShockJump,500,0,self_cem2_nstd0.1_kcov0.1,far_from_threshold,500,400,294,0.7755591282090823,0.23823502659797668,246.88529269999708,0.8605442176870748,0.5741759097294779,0.8979591836734694,0.6841727953301339,245.20732649997808,1.677966200019,0.7967000000000001,0.8302,0.052700000000000004,0.021080766079626764,43.99238290000358,0,0.7967000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,1,self_cem2_nstd0.1_kcov0.1,all,500,400,400,0.9600590936577541,0.37745094299316406,253.2648091999872,0.79,0.9917160507779758,0.8425,1.1817025603777165,251.17710139998235,2.087707800004864,0.8024,0.8348,0.0558,0.09932671487604675,45.140297700010706,0,0.8024,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,1,self_cem2_nstd0.1_kcov0.1,near_threshold,500,400,106,1.4120860883168012,0.7906844019889832,253.2648091999872,0.6037735849056604,2.004435251641656,0.660377358490566,2.3884319177028095,251.17710139998235,2.087707800004864,0.8024,0.8348,0.0558,0.09932671487604675,45.140297700010706,0,0.8024,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,1,self_cem2_nstd0.1_kcov0.1,far_from_threshold,500,400,294,0.7315130869123996,0.22846201062202454,253.2648091999872,0.8571428571428571,0.6265859987659005,0.9081632653061225,0.7466232682809142,251.17710139998235,2.087707800004864,0.8024,0.8348,0.0558,0.09932671487604675,45.140297700010706,0,0.8024,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,2,self_cem2_nstd0.1_kcov0.1,all,500,400,400,0.8562949394015501,0.3106081783771515,234.95047960002557,0.7975,0.6533533590570647,0.8325,0.778518545327008,233.5310813000251,1.4193983000004664,0.771,0.7914,0.042800000000000005,0.028682708392149623,36.9506763999816,0,0.771,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,2,self_cem2_nstd0.1_kcov0.1,near_threshold,500,400,106,1.0275709244914346,0.49492698907852173,234.95047960002557,0.6509433962264151,0.8975974240033396,0.6981132075471698,1.0695532993552972,233.5310813000251,1.4193983000004664,0.771,0.7914,0.042800000000000005,0.028682708392149623,36.9506763999816,0,0.771,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,2,self_cem2_nstd0.1_kcov0.1,far_from_threshold,500,400,294,0.785434575283014,0.24415312707424164,234.95047960002557,0.8503401360544217,0.5652925737362988,0.8809523809523809,0.6735876476161282,233.5310813000251,1.4193983000004664,0.771,0.7914,0.042800000000000005,0.028682708392149623,36.9506763999816,0,0.771,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,3,self_cem2_nstd0.1_kcov0.1,all,500,400,400,0.8065991598267289,0.2830560505390167,227.42605350000667,0.7975,0.6036966610793157,0.835,0.719348940182293,226.04356089999783,1.3824926000088453,0.7736000000000001,0.7962,0.0454,0.019191603507524982,35.55269429998589,0,0.7736000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,3,self_cem2_nstd0.1_kcov0.1,near_threshold,500,400,106,0.9361292730170967,0.42226842045783997,227.42605350000667,0.660377358490566,0.7092488206950707,0.6886792452830188,0.8451220958889958,226.04356089999783,1.3824926000088453,0.7736000000000001,0.7962,0.0454,0.019191603507524982,35.55269429998589,0,0.7736000000000001,3,25,ok
pdebench_burgers,PDEBench Burgers ShockJump,500,3,self_cem2_nstd0.1_kcov0.1,far_from_threshold,500,400,294,0.7544630297054074,0.23286382853984833,227.42605350000667,0.8469387755102041,0.565640440265472,0.8877551020408163,0.674002156151985,226.04356089999783,1.3824926000088453,0.7736000000000001,0.7962,0.0454,0.019191603507524982,35.55269429998589,0,0.7736000000000001,3,25,ok
