dataset,train_size,seed,method,status,rmse,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,wall_sec,variant,setting,family,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,Q_true,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,lowrank_rank,lowrank_basis,lowrank_qr_w_signal_var,standardize_x,standardize_y_for_head,expansion,noise_std,noise_var,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,n_total_neighbors,init_sec,meanw_cem_failed,meanw_cem_inlier_rate,train_sec,pred_sec,split_type,K_default,D,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,fallback_count,history_json,qr_history_json,refresh_history_json
Parkinsons Telemonitoring,500,1,original_meanw_jumpgp_cem,ok,9.328912155109611,6.184103012084961,0.515,14.841819037388223,0.565,17.685118178117417,38.04600219998974,original_meanw_jumpgp_cem,Parkinsons Telemonitoring,Parkinsons Telemonitoring,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,1245,200,5,18,5,5,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.677,0.677,0.0,16.925,1.0,18.0,25.0,25,36.876468600006774,0,0.677,36.876468600006774,0.0,subject_grouped,5,18,,,,,,,,,
Parkinsons Telemonitoring,500,1,self_cem2_nstd0.05_kcov0.1,ok,9.033397528004596,5.640163421630859,0.64,17.685239276016045,0.71,21.073262368765963,181.45601319998968,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.677,0.7194,0.06720000000000001,17.985,2.0,20.0,24.0,25,36.03476760000922,0,0.677,141.5532892999472,0.8084762999787927,subject_grouped,5,18,5.129365671665945,8.478843897096016,0.505837986744794,0.14269263312432331,0.37299825326595937,0,"[{""changed_frac"": 0.057800000000000004, ""inlier_frac"": 0.7084, ""mean_lengthscale"": 7.7407658511879855, ""mean_noise_var"": 0.15567017531594438, ""mean_signal_var"": 0.4873766123581414, ""outer"": 1.0}, {""changed_frac"": 0.0146, ""inlier_frac"": 0.7194, ""mean_lengthscale"": 7.852173284705951, ""mean_noise_var"": 0.14464514064691567, ""mean_signal_var"": 0.5035378990956483, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,1,self_cem2_nstd0.1_kcov0.1,ok,9.044045679937824,5.637861251831055,0.635,17.74472267583069,0.71,21.144141211359866,184.96001999999862,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.677,0.7192000000000001,0.067,17.98,2.0,20.0,24.0,25,36.20124590001069,0,0.677,145.98508720006794,0.8675546000013128,subject_grouped,5,18,5.135244213233594,8.493554790272182,0.4995577537468336,0.14911657438412884,0.35059459227082607,0,"[{""changed_frac"": 0.057800000000000004, ""inlier_frac"": 0.7084, ""mean_lengthscale"": 7.729997556609664, ""mean_noise_var"": 0.16122049056654172, ""mean_signal_var"": 0.4815290199948446, ""outer"": 1.0}, {""changed_frac"": 0.014400000000000001, ""inlier_frac"": 0.7192000000000001, ""mean_lengthscale"": 7.838310744900466, ""mean_noise_var"": 0.15041159979826266, ""mean_signal_var"": 0.49717265265261296, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,1,self_cem2_nstd0.15_kcov0.1,ok,9.028949371446053,5.6115403175354,0.65,17.880672611507443,0.71,21.30613555131874,177.81058499997016,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.677,0.7190000000000001,0.0668,17.975,2.0,20.0,24.0,25,35.8064929000102,0,0.677,138.88555919995997,0.7656532999826595,subject_grouped,5,18,5.1403890581682115,8.604386221667024,0.4924875067254725,0.15962240589001672,0.3322891816290038,0,"[{""changed_frac"": 0.057800000000000004, ""inlier_frac"": 0.7088, ""mean_lengthscale"": 7.7463120921098945, ""mean_noise_var"": 0.1706910082854457, ""mean_signal_var"": 0.47081955732548364, ""outer"": 1.0}, {""changed_frac"": 0.0142, ""inlier_frac"": 0.7190000000000001, ""mean_lengthscale"": 7.8889017061560045, ""mean_noise_var"": 0.1604715575261251, ""mean_signal_var"": 0.48607490003223847, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,1,original_meanw_jumpgp_cem,ok,117.18049389133186,51.2384033203125,0.565,72.50783000029618,0.635,86.39840838672153,49.120686599984765,original_meanw_jumpgp_cem,Appliances Energy Prediction,Appliances Energy Prediction,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,593,200,5,27,5,5,35,40,0,kmeans_yvar,35,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7775714285714286,0.7775714285714286,0.0,27.215,3.0,29.0,34.0,35,45.54114670003764,0,0.7775714285714286,45.54114670003764,0.0,random_row,5,27,,,,,,,,,
Appliances Energy Prediction,500,1,self_cem2_nstd0.05_kcov0.1,ok,120.18707906127055,50.347164154052734,0.66,73.14282939842963,0.75,87.15505683868912,205.4027065000264,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7775714285714286,0.8307142857142857,0.08171428571428573,29.075,2.0,31.0,34.0,35,45.90217990009114,0,0.7775714285714286,154.79175749991555,1.8212795000290498,random_row,5,27,3.369881384837587,6.260390401514029,0.11665282139562237,0.007070191871762839,0.05913335504191095,0,"[{""changed_frac"": 0.07371428571428572, ""inlier_frac"": 0.825857142857143, ""mean_lengthscale"": 6.222008684530401, ""mean_noise_var"": 0.007901593919722118, ""mean_signal_var"": 0.17782314993598675, ""outer"": 1.0}, {""changed_frac"": 0.01142857142857143, ""inlier_frac"": 0.8307142857142857, ""mean_lengthscale"": 5.989915984885965, ""mean_noise_var"": 0.0075179208405394184, ""mean_signal_var"": 0.1279888246328774, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,1,self_cem2_nstd0.1_kcov0.1,ok,120.69618885440664,50.295440673828125,0.695,74.76077319050805,0.76,89.08295577724766,252.3980040999595,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7775714285714286,0.8314285714285715,0.08185714285714286,29.1,2.0,31.0,34.0,35,64.83795980003197,0,0.7775714285714286,183.63889120006934,0.8002627000678331,random_row,5,27,3.3963636558853945,6.374958333729048,0.11254779529515715,0.013336444607659082,0.05406475689470097,0,"[{""changed_frac"": 0.07357142857142858, ""inlier_frac"": 0.8260000000000001, ""mean_lengthscale"": 6.312844520343458, ""mean_noise_var"": 0.013852388125731823, ""mean_signal_var"": 0.17106348327398332, ""outer"": 1.0}, {""changed_frac"": 0.01142857142857143, ""inlier_frac"": 0.8314285714285715, ""mean_lengthscale"": 6.102087133264686, ""mean_noise_var"": 0.013640605329343193, ""mean_signal_var"": 0.12261647642858516, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,1,self_cem2_nstd0.15_kcov0.1,ok,121.12243295823042,50.17567443847656,0.715,78.13180671906433,0.77,93.09978997962753,189.6016769000562,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7775714285714286,0.8382857142857143,0.08757142857142858,29.34,2.0,31.0,34.0,35,45.00427630008198,0,0.7775714285714286,140.88072480005212,0.9277822999283671,random_row,5,27,3.4502705510350666,6.7149615016704765,0.10321008849441782,0.024503338584478895,0.04064901925397365,0,"[{""changed_frac"": 0.07571428571428572, ""inlier_frac"": 0.8307142857142857, ""mean_lengthscale"": 6.5371021886647815, ""mean_noise_var"": 0.025087791656873987, ""mean_signal_var"": 0.16095734355831348, ""outer"": 1.0}, {""changed_frac"": 0.01442857142857143, ""inlier_frac"": 0.8382857142857143, ""mean_lengthscale"": 6.295020090897129, ""mean_noise_var"": 0.025007747770678868, ""mean_signal_var"": 0.113603596858716, ""outer"": 2.0}]",[],[]
Wine Quality,500,2,original_meanw_jumpgp_cem,ok,0.8130156615350728,0.46690651774406433,0.735,1.5972494061546838,0.765,1.9032400568026524,23.432215200038627,original_meanw_jumpgp_cem,Wine Quality,Wine Quality,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,650,200,3,11,3,3,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.79,0.79,0.0,19.75,1.0,22.0,25.0,25,22.527131599956192,0,0.79,22.527131599956192,0.0,random_row,3,11,,,,,,,,,
Wine Quality,500,2,self_cem2_nstd0.05_kcov0.1,ok,0.7797004881196065,0.445291668176651,0.76,1.6993964793736835,0.805,2.0249558018118115,165.61472610000055,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.79,0.8118000000000001,0.049,20.295,3.0,23.0,24.0,25,23.324642000021413,0,0.79,140.34047539997846,0.8221985000418499,random_row,3,11,4.332572069118654,5.460623277158816,0.2682913713571756,0.2579034354603493,0.16698561316893965,0,"[{""changed_frac"": 0.0368, ""inlier_frac"": 0.8028000000000001, ""mean_lengthscale"": 3.685443198411903, ""mean_noise_var"": 0.2751053234200401, ""mean_signal_var"": 0.27677173723901644, ""outer"": 1.0}, {""changed_frac"": 0.0122, ""inlier_frac"": 0.8118000000000001, ""mean_lengthscale"": 4.438209732463658, ""mean_noise_var"": 0.2592548371971944, ""mean_signal_var"": 0.25874107002675645, ""outer"": 2.0}]",[],[]
Wine Quality,500,2,self_cem2_nstd0.1_kcov0.1,ok,0.7867320382599259,0.44651439785957336,0.76,1.721072052760733,0.805,2.050783840542291,163.9886537999846,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.79,0.8106,0.0482,20.265,2.0,23.0,24.0,25,22.556673799990676,0,0.79,139.59574910008814,0.869625199935399,random_row,3,11,4.35091370788025,5.438080063626336,0.26344959834618953,0.2623902454106652,0.1605599454210449,0,"[{""changed_frac"": 0.0366, ""inlier_frac"": 0.8026000000000001, ""mean_lengthscale"": 3.6881748532449126, ""mean_noise_var"": 0.2780456374081576, ""mean_signal_var"": 0.2741620222787579, ""outer"": 1.0}, {""changed_frac"": 0.011600000000000001, ""inlier_frac"": 0.8106, ""mean_lengthscale"": 4.4468765483283414, ""mean_noise_var"": 0.2627126666503642, ""mean_signal_var"": 0.2547564593410836, ""outer"": 2.0}]",[],[]
Wine Quality,500,2,self_cem2_nstd0.15_kcov0.1,ok,0.785764468281743,0.44572412967681885,0.765,1.7382412603287491,0.81,2.071242213205378,165.59125440008938,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.79,0.8102,0.0478,20.255,2.0,23.0,24.0,25,22.301568900002167,0,0.79,141.55667159997392,0.8245500000193715,random_row,3,11,4.352347649166697,5.449509775624345,0.2572519431081568,0.2688266015998981,0.15054840943747785,0,"[{""changed_frac"": 0.036000000000000004, ""inlier_frac"": 0.802, ""mean_lengthscale"": 3.690914641052266, ""mean_noise_var"": 0.2827893035622008, ""mean_signal_var"": 0.26941678005999137, ""outer"": 1.0}, {""changed_frac"": 0.0118, ""inlier_frac"": 0.8102, ""mean_lengthscale"": 4.464357209880934, ""mean_noise_var"": 0.26823317586401796, ""mean_signal_var"": 0.24999179855816267, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,2,original_meanw_jumpgp_cem,ok,9.12981714571695,5.734562873840332,0.54,13.04929626579107,0.595,15.549195554832236,36.12351180007681,original_meanw_jumpgp_cem,Parkinsons Telemonitoring,Parkinsons Telemonitoring,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,1169,200,5,18,5,5,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.6144000000000001,0.6144000000000001,0.0,15.36,3.0,16.0,25.0,25,34.984581899945624,0,0.6144000000000001,34.984581899945624,0.0,subject_grouped,5,18,,,,,,,,,
Parkinsons Telemonitoring,500,2,self_cem2_nstd0.05_kcov0.1,ok,9.367623320841187,5.624101638793945,0.615,14.735233945633908,0.665,17.558114207852583,174.513644700055,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6144000000000001,0.6696000000000001,0.07640000000000001,16.740000000000002,3.0,18.0,24.0,25,33.87008030002471,0,0.6144000000000001,138.36074000003282,0.8590473000658676,subject_grouped,5,18,4.075891634388963,8.402936807482645,0.45945837695872127,0.04227878380157516,0.27047483786770027,0,"[{""changed_frac"": 0.0632, ""inlier_frac"": 0.66, ""mean_lengthscale"": 7.978001294330851, ""mean_noise_var"": 0.04754880856686265, ""mean_signal_var"": 0.44417936081520754, ""outer"": 1.0}, {""changed_frac"": 0.0176, ""inlier_frac"": 0.6696000000000001, ""mean_lengthscale"": 8.036187068449891, ""mean_noise_var"": 0.045251765557718475, ""mean_signal_var"": 0.4442601110593803, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,2,self_cem2_nstd0.1_kcov0.1,ok,9.365110982538503,5.623678207397461,0.615,14.780912441548349,0.67,17.612543492862088,188.3781144999666,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6144000000000001,0.6708000000000001,0.07680000000000001,16.77,3.0,18.0,24.0,25,33.94211289996747,0,0.6144000000000001,151.93806600000244,1.3999823000049219,subject_grouped,5,18,4.078428283240065,8.470743989469245,0.4527663333479899,0.04912679390932361,0.2542264423216951,0,"[{""changed_frac"": 0.0636, ""inlier_frac"": 0.6608, ""mean_lengthscale"": 7.976831890670304, ""mean_noise_var"": 0.0538025308396062, ""mean_signal_var"": 0.4375682281725808, ""outer"": 1.0}, {""changed_frac"": 0.0176, ""inlier_frac"": 0.6708000000000001, ""mean_lengthscale"": 8.027992761278103, ""mean_noise_var"": 0.051756680345526544, ""mean_signal_var"": 0.43917600435267873, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,2,self_cem2_nstd0.15_kcov0.1,ok,9.359044620288364,5.6176252365112305,0.62,14.856614648938807,0.67,17.702748236679007,246.13509250001516,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6144000000000001,0.6714,0.077,16.785,3.0,18.0,24.0,25,49.37870409991592,0,0.6144000000000001,194.7581362000201,0.773075999924913,subject_grouped,5,18,4.08723229355521,8.495851444770476,0.4369499740767728,0.06025617341497741,0.23539247453839923,0,"[{""changed_frac"": 0.06380000000000001, ""inlier_frac"": 0.6614, ""mean_lengthscale"": 7.9853650366392, ""mean_noise_var"": 0.06465115686000858, ""mean_signal_var"": 0.4255763393051635, ""outer"": 1.0}, {""changed_frac"": 0.016800000000000002, ""inlier_frac"": 0.6714, ""mean_lengthscale"": 8.028997859278505, ""mean_noise_var"": 0.06294719006277986, ""mean_signal_var"": 0.42828338314128417, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,2,original_meanw_jumpgp_cem,ok,101.73085966964499,44.47119140625,0.615,111.5955989694763,0.66,132.97435785743727,51.2728999000974,original_meanw_jumpgp_cem,Appliances Energy Prediction,Appliances Energy Prediction,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,593,200,5,27,5,5,35,40,0,kmeans_yvar,35,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7675714285714287,0.7675714285714287,0.0,26.865000000000002,2.0,29.0,34.0,35,48.83264200005215,0,0.7675714285714287,48.83264200005215,0.0,random_row,5,27,,,,,,,,,
Appliances Energy Prediction,500,2,self_cem2_nstd0.05_kcov0.1,ok,101.51639431018845,40.508846282958984,0.78,120.17484740602129,0.83,143.19716289888908,210.60795610002242,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7675714285714287,0.8095714285714286,0.07657142857142858,28.335,2.0,31.0,34.0,35,50.6197348999558,0,0.7675714285714287,156.67500069993548,1.0382255000295117,random_row,5,27,3.3737034211127948,6.972650587672251,0.2981087938567608,0.008076932914208142,0.08829040198558973,0,"[{""changed_frac"": 0.065, ""inlier_frac"": 0.8054285714285715, ""mean_lengthscale"": 7.193197021061689, ""mean_noise_var"": 0.009494154347633364, ""mean_signal_var"": 0.4244613839620714, ""outer"": 1.0}, {""changed_frac"": 0.013285714285714286, ""inlier_frac"": 0.8095714285714286, ""mean_lengthscale"": 6.897291514519133, ""mean_noise_var"": 0.007910457826936178, ""mean_signal_var"": 0.3150494623245678, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,2,self_cem2_nstd0.1_kcov0.1,ok,101.62115751779056,40.264034271240234,0.795,120.58502912814141,0.83,143.68592456697868,215.3272166000679,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7675714285714287,0.8097142857142857,0.07757142857142858,28.34,2.0,31.0,34.0,35,48.61340629996266,0,0.7675714285714287,161.91965569998138,0.9217959999805316,random_row,5,27,3.364342697133785,7.278863883525583,0.28983467169930693,0.015122621782057095,0.06792803049690824,0,"[{""changed_frac"": 0.06614285714285714, ""inlier_frac"": 0.8068571428571429, ""mean_lengthscale"": 7.289430159756094, ""mean_noise_var"": 0.016309799066948915, ""mean_signal_var"": 0.4164795581122732, ""outer"": 1.0}, {""changed_frac"": 0.012285714285714287, ""inlier_frac"": 0.8097142857142857, ""mean_lengthscale"": 7.0043264482984435, ""mean_noise_var"": 0.014668790814728437, ""mean_signal_var"": 0.30726584221953857, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,2,self_cem2_nstd0.15_kcov0.1,ok,102.34758865842836,40.46875762939453,0.805,124.82751068362099,0.85,148.74115314025084,211.07660999998916,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7675714285714287,0.8140000000000001,0.07985714285714286,28.490000000000002,2.0,31.0,34.0,35,48.65310589992441,0,0.7675714285714287,158.91205249994528,0.8574907999718562,random_row,5,27,3.4390950980859096,7.453903698402608,0.27770287366727275,0.027005825077823176,0.05037913156935298,0,"[{""changed_frac"": 0.06914285714285714, ""inlier_frac"": 0.8107142857142857, ""mean_lengthscale"": 7.563482874656207, ""mean_noise_var"": 0.02828487606462261, ""mean_signal_var"": 0.40533970583856327, ""outer"": 1.0}, {""changed_frac"": 0.011857142857142858, ""inlier_frac"": 0.8140000000000001, ""mean_lengthscale"": 7.204315142947717, ""mean_noise_var"": 0.026553370090115807, ""mean_signal_var"": 0.2972662332313233, ""outer"": 2.0}]",[],[]
Wine Quality,500,3,original_meanw_jumpgp_cem,ok,0.8626832706377179,0.4964427053928375,0.695,1.5933288549845046,0.75,1.8985684319436436,27.566527600050904,original_meanw_jumpgp_cem,Wine Quality,Wine Quality,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,650,200,3,11,3,3,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.8008000000000001,0.8008000000000001,0.0,20.02,3.0,22.0,25.0,25,26.545406399993226,0,0.8008000000000001,26.545406399993226,0.0,random_row,3,11,,,,,,,,,
Wine Quality,500,3,self_cem2_nstd0.05_kcov0.1,ok,0.8558961032994221,0.4847128689289093,0.76,1.689535305714475,0.815,2.0132054886528437,183.5331835000543,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.8008000000000001,0.8226,0.047400000000000005,20.565,3.0,23.0,24.0,25,26.0427746999776,0,0.8008000000000001,155.5355053000385,0.8647975000785664,random_row,3,11,4.511623480638934,5.3268786265163195,0.2536939051893733,0.21811077426617131,0.2043037030033468,0,"[{""changed_frac"": 0.0356, ""inlier_frac"": 0.8144, ""mean_lengthscale"": 4.177120066274259, ""mean_noise_var"": 0.24520079383807017, ""mean_signal_var"": 0.27829870661065004, ""outer"": 1.0}, {""changed_frac"": 0.015000000000000001, ""inlier_frac"": 0.8226, ""mean_lengthscale"": 4.756832941060727, ""mean_noise_var"": 0.22404385591605538, ""mean_signal_var"": 0.2501609696983904, ""outer"": 2.0}]",[],[]
Wine Quality,500,3,self_cem2_nstd0.1_kcov0.1,ok,0.8513712596639378,0.4823736548423767,0.76,1.703649597586417,0.81,2.0300237047439396,200.6526509000687,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.8008000000000001,0.8234,0.0482,20.585,3.0,23.0,24.0,25,28.59472349996213,0,0.8008000000000001,168.64645060000475,1.0416235000593588,random_row,3,11,4.513759304229462,5.32850330927933,0.250584465393844,0.22167225050448067,0.1963426983532375,0,"[{""changed_frac"": 0.0358, ""inlier_frac"": 0.8146, ""mean_lengthscale"": 4.178396593811653, ""mean_noise_var"": 0.2484904810711113, ""mean_signal_var"": 0.2745879443909022, ""outer"": 1.0}, {""changed_frac"": 0.015600000000000001, ""inlier_frac"": 0.8234, ""mean_lengthscale"": 4.748187280592359, ""mean_noise_var"": 0.2273848896396223, ""mean_signal_var"": 0.24741485009417288, ""outer"": 2.0}]",[],[]
Wine Quality,500,3,self_cem2_nstd0.15_kcov0.1,ok,0.8522976054724759,0.483306884765625,0.76,1.720673614408107,0.81,2.0503090719620287,196.56909050000831,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.8008000000000001,0.8238000000000001,0.0478,20.595,3.0,23.0,24.0,25,28.415956599987112,0,0.8008000000000001,165.98868350009434,1.0850058000069112,random_row,3,11,4.517792373772885,5.342717267512186,0.24325166322209518,0.22851534892451747,0.18489291877679578,0,"[{""changed_frac"": 0.0354, ""inlier_frac"": 0.8150000000000001, ""mean_lengthscale"": 4.2032220158502005, ""mean_noise_var"": 0.2539325051429234, ""mean_signal_var"": 0.26901184677636425, ""outer"": 1.0}, {""changed_frac"": 0.016, ""inlier_frac"": 0.8238000000000001, ""mean_lengthscale"": 4.758744183983521, ""mean_noise_var"": 0.23338411144711302, ""mean_signal_var"": 0.24236254665220436, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,3,original_meanw_jumpgp_cem,ok,11.658197631675732,8.16108512878418,0.345,11.371822003914954,0.4,13.550361686335618,46.0429138999898,original_meanw_jumpgp_cem,Parkinsons Telemonitoring,Parkinsons Telemonitoring,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,1303,200,5,18,5,5,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.6278,0.6278,0.0,15.695,2.0,15.0,25.0,25,44.67633329995442,0,0.6278,44.67633329995442,0.0,subject_grouped,5,18,,,,,,,,,
Parkinsons Telemonitoring,500,3,self_cem2_nstd0.05_kcov0.1,ok,11.481033657998005,7.849323749542236,0.395,12.92464190176298,0.465,15.40066071865741,216.56231850001495,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6278,0.6534,0.049600000000000005,16.335,2.0,16.0,24.0,25,42.51431669993326,0,0.6278,171.6578616000479,1.0863098000409082,subject_grouped,5,18,5.382549909827675,8.1362928353257,0.4114611981842978,0.10069342084912336,0.2530374563075766,0,"[{""changed_frac"": 0.0426, ""inlier_frac"": 0.6472, ""mean_lengthscale"": 7.031221649996891, ""mean_noise_var"": 0.11239494751481491, ""mean_signal_var"": 0.3722239907053039, ""outer"": 1.0}, {""changed_frac"": 0.0082, ""inlier_frac"": 0.6534, ""mean_lengthscale"": 7.424011163583678, ""mean_noise_var"": 0.10275192200437765, ""mean_signal_var"": 0.39333638894493606, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,3,self_cem2_nstd0.1_kcov0.1,ok,11.4472286359814,7.839664459228516,0.385,12.93551599010464,0.465,15.413617994104383,212.67510559991933,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6278,0.6538,0.05,16.345,2.0,16.0,24.0,25,43.19536110002082,0,0.6278,167.10325269994792,1.0730385000351816,subject_grouped,5,18,5.387864906906898,8.273691531533773,0.3819177564879896,0.10707541446714862,0.21958990643049275,0,"[{""changed_frac"": 0.042800000000000005, ""inlier_frac"": 0.6478, ""mean_lengthscale"": 7.079587906808374, ""mean_noise_var"": 0.11751532445428917, ""mean_signal_var"": 0.3636752686785615, ""outer"": 1.0}, {""changed_frac"": 0.008, ""inlier_frac"": 0.6538, ""mean_lengthscale"": 7.502346351627257, ""mean_noise_var"": 0.10842944197759198, ""mean_signal_var"": 0.3776448228572806, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,3,self_cem2_nstd0.15_kcov0.1,ok,11.396819147773325,7.807809829711914,0.385,13.01679439303662,0.47,15.510467184729851,206.9153092999477,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6278,0.6542,0.0504,16.355,2.0,16.0,24.0,25,41.09058519999962,0,0.6278,163.42502870003227,1.2370629999786615,subject_grouped,5,18,5.387094292228474,8.309887055966911,0.351736163562085,0.11717903947304407,0.18252711555142895,0,"[{""changed_frac"": 0.042800000000000005, ""inlier_frac"": 0.6478, ""mean_lengthscale"": 7.094300473098245, ""mean_noise_var"": 0.12620552649057526, ""mean_signal_var"": 0.35056591682123656, ""outer"": 1.0}, {""changed_frac"": 0.0088, ""inlier_frac"": 0.6542, ""mean_lengthscale"": 7.550421860821325, ""mean_noise_var"": 0.11817985459127663, ""mean_signal_var"": 0.3534893690051071, ""outer"": 2.0}]",[],[]
