benchmark,dataset,train_size,seed,method,subset,n_train,n_test,n_eval,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
pdebench_burgers,PDEBench Burgers ShockJump,200,1,xgb_bootstrap,near_threshold,200,400,106,1.1107319917489333,0.5919668078422546,0.7536533999955282,0.7735849056603774,2.2215794576673398,0.8490566037735849,2.6471751981311535
pdebench_burgers,PDEBench Burgers ShockJump,200,1,xgb_bootstrap,far_from_threshold,200,400,294,0.7578807345967131,0.3540644347667694,0.7536533999955282,0.9387755102040817,2.0170095530371914,0.95578231292517,2.4034151219601254
pdebench_burgers,PDEBench Burgers ShockJump,200,1,dkl_svgp,all,200,400,400,0.9494308829307556,0.5537893772125244,0.49095410000154516,0.595,1.6092403986015131,0.6575,1.917528205577468
pdebench_burgers,PDEBench Burgers ShockJump,200,1,dkl_svgp,near_threshold,200,400,106,1.25216543674469,0.7626129984855652,0.49095410000154516,0.5754716981132075,1.6563032627373377,0.6320754716981132,1.9736070670664843
pdebench_burgers,PDEBench Burgers ShockJump,200,1,dkl_svgp,far_from_threshold,200,400,294,0.8130907416343689,0.47849926352500916,0.49095410000154516,0.6020408163265306,1.5922721550695493,0.6666666666666666,1.8973092963331286
pdebench_burgers,PDEBench Burgers ShockJump,200,1,lmjgp_predict_vi,all,200,400,400,0.845229983329773,0.34376755356788635,578.8388983000041,0.83,1.6243583023251633,0.8775,1.9355422989500284
pdebench_burgers,PDEBench Burgers ShockJump,200,1,lmjgp_predict_vi,near_threshold,200,400,106,1.2202335596084595,0.6656112670898438,578.8388983000041,0.7169811320754716,2.785671367006109,0.7641509433962265,3.3193321658751547
pdebench_burgers,PDEBench Burgers ShockJump,200,1,lmjgp_predict_vi,far_from_threshold,200,400,294,0.6596605181694031,0.22772863507270813,578.8388983000041,0.8707482993197279,1.2056535919299924,0.9183673469387755,1.4366248639362076
pdebench_burgers,PDEBench Burgers ShockJump,200,2,xgb_bootstrap,all,200,400,400,0.8571088904683054,0.4084216356277466,1.508470100001432,0.915,2.1024633216985795,0.955,2.5052395677194443
pdebench_burgers,PDEBench Burgers ShockJump,200,2,xgb_bootstrap,near_threshold,200,400,106,1.1679979547761747,0.6310917139053345,1.508470100001432,0.8679245283018868,2.4559098927618983,0.8962264150943396,2.926397133591851
pdebench_burgers,PDEBench Burgers ShockJump,200,2,xgb_bootstrap,far_from_threshold,200,400,294,0.7124906550947583,0.32813921570777893,1.508470100001432,0.9319727891156463,1.9750302042403765,0.9761904761904762,2.3533936426089848
