dataset,train_size,seed,family,method,rmse,crps,cov90,width90,cov95,width95,wall_sec,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,omitted_eval_points,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,cem_map_train_time_sec,cem_vi_train_time_sec,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_hessian_median,laplace_hessian_failures,vi_query_var_mean,vi_anchor_var_mean,vi_kl,vi_best_loss,has_qV_gradient,best_elbo,R,residual_scale
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_supervised_gp_cond_ensemble,103.60992831215339,41.64522171020508,0.796875,122.27019891492846,0.84375,145.69392821898697,244.11801479995484,41.64522171020508,0.796875,122.27019891492846,0.84375,145.69392821898697,0,1,1,5,35,3,214.7164721999725,29.40154259998235,162.86270989998593,51.853762299986556,6.568784236907959,0.06298603117465973,0.0977165475487709,0.03458181396126747,0,0.06813839823007584,0.004409351386129856,7864.3037109375,164.594970703125,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_supervised_laplace_ensemble,99.95691928220673,41.66459274291992,0.78125,118.01100034385786,0.8125,140.61878009302603,244.70645669996156,41.66459274291992,0.78125,118.01100034385786,0.8125,140.61878009302603,0,1,1,5,35,3,214.7164721999725,29.989984499989077,162.86270989998593,51.853762299986556,6.568784236907959,0.06298603117465973,0.0977165475487709,0.03458181396126747,0,0.06813839823007584,0.004409351386129856,7864.3037109375,164.594970703125,,,,
Appliances Energy Prediction,200,0,cem_em_repaired,cem_em_supervised_vi_fullcov_ensemble,104.03430326748001,42.32550811767578,0.734375,105.59166592798141,0.796875,125.82023038122558,244.26324319996638,42.32550811767578,0.734375,105.59166592798141,0.796875,125.82023038122558,0,1,1,5,35,3,214.7164721999725,29.546770999993896,162.86270989998593,51.853762299986556,6.568784236907959,0.06298603117465973,0.0977165475487709,0.03458181396126747,0,0.06813839823007584,0.004409351386129856,7864.3037109375,164.594970703125,,,,
Appliances Energy Prediction,200,0,lmjgp_supervised_reparam,lmjgp_supervised_reparam,100.89205799132904,37.85361099243164,0.796875,119.15519612850463,0.859375,141.98217346276104,94.79853739996906,37.85361099243164,0.796875,119.15519612850463,0.859375,141.98217346276104,0,1,1,5,35,3,65.96552629998769,28.833011099981377,,,,,,,,,,,,True,,,
Appliances Energy Prediction,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_pls_pca,105.10164125834007,42.08049392700195,0.8125,120.7527196139518,0.890625,143.88574010518406,66.09557669999776,42.08049392700195,0.8125,120.7527196139518,0.890625,143.88574010518406,0,,,,,,36.8160266999912,29.279550000006566,,,,,,,,,,,,,-4.896275680501887,10,1.0
Appliances Energy Prediction,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_pls_pca,102.26692632885387,42.61799621582031,0.75,105.36721630758495,0.828125,125.55278216266521,66.48933740000939,42.61799621582031,0.75,105.36721630758495,0.828125,125.55278216266521,0,,,,,,38.05958709999686,28.42975030001253,,,,,,,,,,,,,-4.303155012213691,10,1.0
Appliances Energy Prediction,200,0,lmjgp_lowrank_residual,lmjgp_lowrank_cem_mean_cem_svd,103.20636757693256,41.603694915771484,0.78125,119.19030979835254,0.828125,142.02401398105354,68.61952269996982,41.603694915771484,0.78125,119.19030979835254,0.828125,142.02401398105354,0,,,,,,37.99561719998019,30.623905499989633,,,,,,,,,,,,,-3.163346461146801,10,1.0
Wine Quality,200,1,cem_em_repaired,cem_em_transductive_gp_cond_ensemble,0.914201025132211,0.5380682945251465,0.609375,1.2900374335529365,0.65625,1.5371744129952511,132.14228700002423,0.5380682945251465,0.609375,1.2900374335529365,0.65625,1.5371744129952511,0,1,0,3,25,3,114.9556062000047,17.18668080001953,85.69016470000497,29.265441499999724,4.376921653747559,9.905826300382614e-05,0.022461336106061935,0.040001168847084045,0,0.0017615444958209991,0.0016917054308578372,7378.46923828125,134.9336395263672,,,,
Wine Quality,200,1,cem_em_repaired,cem_em_transductive_laplace_ensemble,0.8556510218086855,0.4941151738166809,0.703125,1.691718983264435,0.765625,2.015807500942352,131.98845959999016,0.4941151738166809,0.703125,1.691718983264435,0.765625,2.015807500942352,0,1,0,3,25,3,114.9556062000047,17.03285339998547,85.69016470000497,29.265441499999724,4.376921653747559,9.905826300382614e-05,0.022461336106061935,0.040001168847084045,0,0.0017615444958209991,0.0016917054308578372,7378.46923828125,134.9336395263672,,,,
Wine Quality,200,1,cem_em_repaired,cem_em_transductive_vi_fullcov_ensemble,0.843845543119311,0.4754864275455475,0.765625,1.7954975566648417,0.796875,2.139467298324277,131.55045460001566,0.4754864275455475,0.765625,1.7954975566648417,0.796875,2.139467298324277,0,1,0,3,25,3,114.9556062000047,16.59484840001096,85.69016470000497,29.265441499999724,4.376921653747559,9.905826300382614e-05,0.022461336106061935,0.040001168847084045,0,0.0017615444958209991,0.0016917054308578372,7378.46923828125,134.9336395263672,,,,
