dataset,train_size,method,n,rmse_mean,rmse_std,crps_mean,crps_std,cov90_mean,cov90_std,width90_mean,width90_std,cov95_mean,cov95_std,width95_mean,width95_std
Wine Quality,500,cem_em_supervised_gp_cond_ensemble,5,0.7556869057121428,0.06704792575330311,0.4262789785861969,0.03554838702997057,0.79375,0.041221581119602876,1.9177829624070455,0.0738169047573893,0.85,0.0414578098794425,2.285179346595583,0.08795826716985734
Wine Quality,500,cem_em_supervised_laplace_ensemble,5,0.7571040529311256,0.0828529184749771,0.4270851671695709,0.04683566311338887,0.79375,0.06803606580336638,1.96671901599208,0.041301292907288116,0.85625,0.042389562394532926,2.3434902509828346,0.04921352592525374
Wine Quality,500,cem_em_supervised_vi_fullcov_ensemble,5,0.7491131771838779,0.06809024882313357,0.4260855197906494,0.0438154848699611,0.803125,0.0414578098794425,1.9351421642699982,0.0673855008993693,0.83125,0.04571480886977435,2.3058641114246625,0.0802947767989159
Wine Quality,500,cem_em_transductive_gp_cond_ensemble,5,0.8421138707350787,0.0806489710741461,0.5212846398353577,0.05046396454180847,0.621875,0.03878023014372143,1.3243852897071982,0.1228516005209008,0.64375,0.0517279542413964,1.578102407988511,0.1463867109624409
Wine Quality,500,cem_em_transductive_laplace_ensemble,5,0.8005918573694473,0.09304475244978826,0.46982467770576475,0.0635548259591347,0.721875,0.08466385740090042,1.653546989868247,0.12376168275371485,0.76875,0.07743444808352416,1.9703227653715092,0.1474711408290614
Wine Quality,500,cem_em_transductive_vi_fullcov_ensemble,5,0.7985708115501133,0.08246126492131874,0.46605772376060484,0.05183986536265022,0.725,0.0480071609241788,1.6853556076280998,0.06729772587904544,0.78125,0.038273277230987154,2.008225071197262,0.08019018641120068
Wine Quality,500,lmjgp_lowrank_cem_mean_cem_svd,5,0.7552025796277467,0.051388612057781606,0.42718166708946226,0.03694307382465476,0.8375,0.05466517401417469,2.027643544838513,0.06908340682297491,0.88125,0.0426193178030808,2.4160863047334598,0.0823179564939819
Wine Quality,500,lmjgp_lowrank_cem_mean_pls_pca,5,0.7559005432495555,0.044627866242705844,0.4200994849205017,0.031089030276406845,0.828125,0.009882117688026186,2.030770603457788,0.043253230399922696,0.896875,0.043750000000000004,2.419812424900568,0.05153940290479259
Wine Quality,500,lmjgp_lowrank_pls_pca,5,0.7685554878557854,0.04679396051545857,0.43243464827537537,0.028486281564648847,0.84375,0.046351240544347895,2.0850038527517554,0.03930636519808333,0.884375,0.028980057798424077,2.4844353272908335,0.04683642294311868
Wine Quality,500,lmjgp_supervised_reparam,5,0.7654650765137483,0.04594645570074215,0.4368254244327545,0.0302358012196632,0.825,0.0318688719599549,2.093071523853651,0.04000925610340913,0.871875,0.03878023014372142,2.494048550339826,0.047673969115572035
