dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,2,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7564475449296002,0.41211268305778503,107.93491420001374,0.795,1.903345866948256,0.87,2.2679764863064054
Wine Quality,3,xgb_bootstrap,random_row,25,raw,200,0,0.6723419719660136,0.38023826479911804,11.970158099982655,0.74,1.4229426341372076,0.8,1.6955407273195398
Wine Quality,3,dkl_svgp,random_row,25,raw,200,0,0.8033555270032575,0.5443816781044006,2.6059434000053443,0.22,0.540181021538122,0.255,0.6436653876059515
Wine Quality,3,lmjgp_transductive,random_row,25,raw,200,0,0.7536613107583922,0.4187772870063782,101.21205430000555,0.84,2.0270569122991566,0.87,2.4153872889484336
Wine Quality,3,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.6944893826472845,0.37844887375831604,81.98079709999729,0.865,2.001742475288872,0.92,2.385223276773671
Wine Quality,3,lmjgp_supervised,random_row,25,raw,200,0,0.7317907753044625,0.40406739711761475,42.267974999995204,0.855,1.963604618475486,0.895,2.339779217450095
Wine Quality,3,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7030052757273336,0.38453978300094604,88.03403690000414,0.815,1.8462396569566517,0.865,2.1999302400975154
Wine Quality,4,xgb_bootstrap,random_row,25,raw,200,0,0.6818727756312275,0.3840090036392212,3.595197899994673,0.71,1.3257522943657472,0.785,1.5797312945067719
Wine Quality,4,dkl_svgp,random_row,25,raw,200,0,0.6997387178290964,0.4660559594631195,1.3756215999892447,0.345,0.4951322718146168,0.375,0.5899864914659523
Wine Quality,4,lmjgp_transductive,random_row,25,raw,200,0,0.7307720688616787,0.41517817974090576,46.05244970001513,0.84,2.0921705971369784,0.9,2.4929750299435707
Wine Quality,4,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7474202182750832,0.40994903445243835,42.10451239999384,0.83,1.9724409580045574,0.91,2.350308365423126
Wine Quality,4,lmjgp_supervised,random_row,25,raw,200,0,0.7076853862322964,0.39443233609199524,40.297059999982594,0.855,2.0720300318806513,0.93,2.468976066215812
Wine Quality,4,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7508833805075164,0.420583575963974,42.36076460001641,0.805,1.928453428020655,0.885,2.2978939905968914
Appliances Energy Prediction,0,xgb_bootstrap,random_row,35,raw,200,0,95.60643483834676,40.946468353271484,5.653852499992354,0.86,158.71399482600268,0.89,189.11938947295718
Appliances Energy Prediction,0,dkl_svgp,random_row,35,raw,200,0,102.44617259619328,48.90937042236328,1.346520299994154,0.575,62.3047747588146,0.665,74.24071819599034
