dataset,seed,family,method,rmse,crps,wall_sec,cov90,width90,cov95,width95,standardize_x,standardize_y,Q,n,MC_num,train_time_sec,pred_time_sec,total_eval_sec,feature_eff_count,feature_top1_share,metric_anchor_dispersion_rel,coeff_gp_lengthscale,mean_coeff_gp_var,laplace_mean_var,laplace_extra_var_mean,laplace_anchor_var_median,laplace_hessian_failures,laplace_hessian_median,best_outer
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_prior_unit_rows,7.426560942417243,4.10852575302124,79.63595329999225,0.828125,18.50186700419141,0.859375,22.046334324698552,0,0,5,25,3,51.55034929999965,28.0856039999926,28.085685199999716,17.988190030054007,0.05889548733830452,1.0466165666792178,,,,,,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,6.808540474929603,3.768829345703125,81.44957029999932,0.828125,18.082945912831907,0.890625,21.547159055862878,0,0,5,25,3,51.55034929999965,29.89922099999967,29.89929140001186,17.980433410744133,0.06384655088186264,1.0449275977111243,,,,,,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_permuted_features,6.725752779147257,3.6926541328430176,81.88009399999282,0.84375,17.727232274416863,0.875,21.12330011262345,0,0,5,25,3,51.55034929999965,30.32974469999317,30.329807300004177,17.951379075272214,0.06944891065359116,1.0505660283792035,,,,,,,,
Parkinsons Telemonitoring,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,7.194185360542874,3.8738410472869873,80.23070270000608,0.828125,18.338468740014296,0.890625,21.851633284024764,0,0,5,25,3,51.55034929999965,28.680353400006425,28.68042570000398,17.98632024588169,0.06061752513051033,1.0494302428384412,,,,,,,,
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,7.491081751434476,4.201650142669678,177.7985513000167,0.625,11.113361729639276,0.65625,13.24238727407528,0,0,5,25,1,166.8044596000109,10.99409170000581,10.994130100007169,11.59119891196857,0.1774480789899826,0.8225335496697842,49.071754455566406,0.0006282180547714233,0.0019322138978168368,0.0013039957266300917,0.00017228166689164937,0,0.06830079108476639,5
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,7.4096285198164376,4.219006538391113,198.93204800001695,0.671875,13.486522356230111,0.734375,16.07018257539164,0,0,5,25,3,166.8044596000109,32.12758840000606,32.12766699999338,11.599088788160483,0.17721518874168396,0.8242144584340124,49.071754455566406,0.0006282180547714233,0.0019322138978168368,0.0013039957266300917,0.00017228166689164937,0,0.06830079108476639,5
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,7.245784916008856,4.055644512176514,198.335684700025,0.671875,13.346893525374712,0.71875,15.903804561448096,0,0,5,25,3,166.8044596000109,31.531225100014126,31.53134419998969,11.61476834960148,0.17699362337589264,0.8230574916368736,49.071754455566406,0.0006282180547714233,0.0019322138978168368,0.0013039957266300917,0.00017228166689164937,0,0.06830079108476639,5
Parkinsons Telemonitoring,0,cem_em_projection_uncertainty,cem_supervised_laplace_diag_ensemble,7.210950169350798,3.936312198638916,199.09898310000426,0.71875,13.59663239391599,0.765625,16.20138677779878,0,0,5,25,3,166.8044596000109,32.294523499993375,32.294625000009546,11.621455065892983,0.1768922656774521,0.8222755624992076,49.071754455566406,0.0006282180547714233,0.0019322138978168368,0.0013039957266300917,0.00017228166689164937,0,0.06830079108476639,5
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_learned_qW,93.45293370555126,38.640872955322266,101.36154559999704,0.890625,162.32399167051898,0.90625,193.4209660288412,1,1,5,35,3,71.03156919998582,30.32997640001122,30.330042399989907,26.951996311024114,0.04412339627742767,1.2753674715139915,,,,,,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_prior_unit_rows,87.48222367211987,36.363487243652344,102.70682979997946,0.890625,189.02204291289183,0.921875,225.23365624945222,1,1,5,35,3,71.03156919998582,31.675260599993635,31.675320300011663,26.974316122138955,0.0402282290160656,1.285448368179212,,,,,,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_isotropic_moment_matched,93.62231498284257,38.03834533691406,101.95669159997487,0.875,186.48592535685873,0.90625,222.21168579023438,1,1,5,35,3,71.03156919998582,30.92512239998905,30.925199799996335,26.97989252989752,0.04055313020944595,1.2945056294667365,,,,,,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_permuted_features,107.06279510906168,41.76579666137695,102.34044189998531,0.84375,167.55435021216272,0.890625,199.6533226348528,1,1,5,35,3,71.03156919998582,31.308872699999483,31.308960099995602,26.952002736881543,0.04412340000271797,1.2753675151952093,,,,,,,,
Appliances Energy Prediction,0,lmjgp_projection_control,lmjgp_zero_mean_learned_sigma,100.02451463881906,38.85189437866211,101.86320359999081,0.875,171.30007606715765,0.890625,204.11663028208525,1,1,5,35,3,71.03156919998582,30.831634400004987,30.83170200002496,26.978818322506832,0.04021469131112099,1.2591945615906222,,,,,,,,
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_map_meanC,109.99419737931949,42.399330139160156,190.5880921999924,0.65625,99.90330351578669,0.6875,119.04212850259445,1,1,5,35,1,180.0402701999992,10.547821999993175,10.54786290001357,20.401215500273118,0.19464141130447388,0.8461900128588885,6.969383716583252,0.05321856960654259,0.08809274435043335,0.034874171018600464,0.02586113102734089,0,0.05933898687362671,5
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble,97.63950014864727,37.35961151123047,211.40277670000796,0.84375,144.3376538019015,0.875,171.9889225578392,1,1,5,35,3,180.0402701999992,31.36250650000875,31.362590700009605,21.378806965542367,0.18292857706546783,0.8270686540739431,6.969383716583252,0.05321856960654259,0.08809274435043335,0.034874171018600464,0.02586113102734089,0,0.05933898687362671,5
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_gp_cond_ensemble_varx3,111.04142520799402,43.668373107910156,211.45871980002266,0.921875,209.79835396636503,0.953125,249.99015781845793,1,1,5,35,3,180.0402701999992,31.41844960002345,31.41851969997515,22.77820021031058,0.1578923910856247,0.8393746042223218,6.969383716583252,0.05321856960654259,0.08809274435043335,0.034874171018600464,0.02586113102734089,0,0.05933898687362671,5
Appliances Energy Prediction,0,cem_em_projection_uncertainty,cem_supervised_laplace_diag_ensemble,91.82649097782489,38.03215026855469,226.00036730000284,0.875,167.51059977792113,0.90625,199.60119077702882,1,1,5,35,3,180.0402701999992,45.96009710000362,45.96015780000016,22.083316341773443,0.17143501341342926,0.8246949513479841,6.969383716583252,0.05321856960654259,0.08809274435043335,0.034874171018600464,0.02586113102734089,0,0.05933898687362671,5
