dataset,dataset_folder,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,near_threshold,threshold_distance,shock_location,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,26.0,0.3186729660610608,0.2939634505343297,-0.02470951552673112,0.3864687979221344,0.3329031318426132,-0.05356566607952118,0.5372272729873657,1,0.04330708831548691,0.4566929042339325,26,,nan,nan,208.27691650390625,3.000000238418579,1.5583832263946533,629.8482971191406,1534.345458984375
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,27.0,0.10711408080196785,0.04329420655479169,-0.06381987424717617,1.0919764041900635,1.0963013172149658,0.004324913024902344,0.9122490882873535,1,0.003937007859349251,0.4960629940032959,27,,nan,nan,208.27691650390625,3.000000238418579,220.02151489257812,620.73095703125,662.2706909179688
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,28.0,0.06980882393449503,0.03676119662521288,-0.03304762730928215,0.0688411146402359,0.06684944033622742,-0.001991674304008484,0.06962724030017853,0,0.3976377844810486,0.10236220806837082,28,,nan,nan,208.27691650390625,3.000000238418579,1.0000003576278687,19.85511589050293,120.87604522705078
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,29.0,0.09556201190473933,0.039507267897605426,-0.0560547440071339,0.09462855011224747,0.10313243418931961,0.008503884077072144,0.11014127731323242,0,0.3897637724876404,0.11023622006177902,29,,nan,nan,208.27691650390625,3.000000238418579,1.0000646114349365,36.431190490722656,125.00041961669922
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,30.0,0.036142173963848154,0.030290242860881916,-0.005851931102966237,0.312295526266098,0.2571570351719856,-0.055138491094112396,0.24924032390117645,0,0.5,0.0,30,,nan,nan,208.27691650390625,3.000000238418579,1.0,31.999930381774902,1670.9366455078125
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,31.0,-0.0339524820722491,-0.025366179685024325,0.008586302387224777,0.07095596194267273,0.08122305572032928,0.010267093777656555,0.09042339026927948,0,0.5,0.0,31,,nan,nan,208.27691650390625,3.000000238418579,1.2593899965286255,54.4163818359375,108.404541015625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,32.0,0.0960896110786903,0.07625061766216712,-0.019838993416523176,0.6421418786048889,1.18086439371109,0.5387225151062012,1.3395799398422241,1,0.06692913174629211,0.5669291615486145,32,,nan,nan,208.27691650390625,3.000000238418579,1.0334089994430542,117.15339279174805,1734.2537841796875
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,33.0,0.04448289110467807,0.0072806780774749835,-0.037202213027203085,1.1376926898956299,1.345094919204712,0.20740222930908203,1.8153529167175293,0,0.4055117964744568,0.9055117964744568,33,,nan,nan,208.27691650390625,3.000000238418579,8.303857803344727,38.81088829040527,109.1893081665039
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,34.0,0.15965647781536416,0.1750769990277276,0.015420521212363453,0.05768387392163277,0.06212346628308296,0.004439592361450195,0.2505614757537842,1,0.05118110403418541,0.5511810779571533,34,,nan,nan,208.27691650390625,3.000000238418579,1.6289360523223877,254.1442642211914,720.4078369140625
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,35.0,0.14221538298355682,0.12430302546607508,-0.017912357517481742,0.07490986585617065,0.08093173429369926,0.00602186843752861,0.08791661262512207,0,0.4291338622570038,0.07086614519357681,35,,nan,nan,208.27691650390625,3.000000238418579,1.0,15.916893005371094,160.55899047851562
