dataset,seed,method,metric,value
Wine Quality,4,cem_em_coeff,w95,1.6676461817322235
Wine Quality,5,xgb_bootstrap,rmse,0.5653729548230996
Wine Quality,5,xgb_bootstrap,crps,0.30953964591026306
Wine Quality,5,xgb_bootstrap,wall_sec,5.483353199997509
Wine Quality,5,xgb_bootstrap,cov90,0.875
Wine Quality,5,xgb_bootstrap,w90,1.6730298855279897
Wine Quality,5,xgb_bootstrap,cov95,0.93
Wine Quality,5,xgb_bootstrap,w95,1.993538067439706
Wine Quality,5,dkl_svgp,rmse,0.6768697500228882
Wine Quality,5,dkl_svgp,crps,0.4050218164920807
Wine Quality,5,dkl_svgp,wall_sec,7.889169400004903
Wine Quality,5,dkl_svgp,cov90,0.605
Wine Quality,5,dkl_svgp,w90,1.093304661184956
Wine Quality,5,dkl_svgp,cov95,0.71
Wine Quality,5,dkl_svgp,w95,1.302752855902296
Wine Quality,5,pls_only,rmse,0.711607244366375
Wine Quality,5,pls_only,crps,0.37607342004776
Wine Quality,5,pls_only,wall_sec,18.18542879999586
Wine Quality,5,pls_only,cov90,0.815
Wine Quality,5,pls_only,w90,1.445860496322629
Wine Quality,5,pls_only,cov95,0.85
Wine Quality,5,pls_only,w95,1.7228490444549238
Wine Quality,5,cem_em_coeff,rmse,0.7699766467003537
Wine Quality,5,cem_em_coeff,crps,0.39780205488204956
Wine Quality,5,cem_em_coeff,wall_sec,20.194876800000202
Wine Quality,5,cem_em_coeff,cov90,0.765
Wine Quality,5,cem_em_coeff,w90,1.3108133105338706
Wine Quality,5,cem_em_coeff,cov95,0.795
Wine Quality,5,cem_em_coeff,w95,1.5619303973349241
Wine Quality,6,xgb_bootstrap,rmse,0.5898372050204278
Wine Quality,6,xgb_bootstrap,crps,0.3311467468738556
Wine Quality,6,xgb_bootstrap,wall_sec,5.963606099998287
Wine Quality,6,xgb_bootstrap,cov90,0.85
Wine Quality,6,xgb_bootstrap,w90,1.6704144991571297
Wine Quality,6,xgb_bootstrap,cov95,0.89
Wine Quality,6,xgb_bootstrap,w95,1.990421642361784
Wine Quality,6,dkl_svgp,rmse,0.6396665573120117
Wine Quality,6,dkl_svgp,crps,0.3876817524433136
Wine Quality,6,dkl_svgp,wall_sec,7.9068990999949165
Wine Quality,6,dkl_svgp,cov90,0.615
Wine Quality,6,dkl_svgp,w90,1.0783334466170529
Wine Quality,6,dkl_svgp,cov95,0.685
Wine Quality,6,dkl_svgp,w95,1.2849135534396843
Wine Quality,6,pls_only,rmse,0.7333311798391778
Wine Quality,6,pls_only,crps,0.4050525724887848
Wine Quality,6,pls_only,wall_sec,18.632004400002188
Wine Quality,6,pls_only,cov90,0.775
Wine Quality,6,pls_only,w90,1.4267272374804854
Wine Quality,6,pls_only,cov95,0.82
Wine Quality,6,pls_only,w95,1.7000503603513502
Wine Quality,6,cem_em_coeff,rmse,0.7824085094499702
Wine Quality,6,cem_em_coeff,crps,0.4222296476364136
Wine Quality,6,cem_em_coeff,wall_sec,22.349168299995654
Wine Quality,6,cem_em_coeff,cov90,0.75
Wine Quality,6,cem_em_coeff,w90,1.322643144272287
Wine Quality,6,cem_em_coeff,cov95,0.79
Wine Quality,6,cem_em_coeff,w95,1.5760265136643543
Wine Quality,7,xgb_bootstrap,rmse,0.5772606254124067
Wine Quality,7,xgb_bootstrap,crps,0.32440391182899475
Wine Quality,7,xgb_bootstrap,wall_sec,5.810516099998495
Wine Quality,7,xgb_bootstrap,cov90,0.865
Wine Quality,7,xgb_bootstrap,w90,1.6687747368344572
Wine Quality,7,xgb_bootstrap,cov95,0.915
Wine Quality,7,xgb_bootstrap,w95,1.9884677450404769
Wine Quality,7,dkl_svgp,rmse,0.6253378987312317
Wine Quality,7,dkl_svgp,crps,0.3763563334941864
Wine Quality,7,dkl_svgp,wall_sec,8.427315799999633
Wine Quality,7,dkl_svgp,cov90,0.64
Wine Quality,7,dkl_svgp,w90,1.081493477406116
Wine Quality,7,dkl_svgp,cov95,0.72
Wine Quality,7,dkl_svgp,w95,1.2886789623703743
Wine Quality,7,pls_only,rmse,0.7026940154828811
Wine Quality,7,pls_only,crps,0.38520461320877075
Wine Quality,7,pls_only,wall_sec,21.191858999998658
Wine Quality,7,pls_only,cov90,0.765
Wine Quality,7,pls_only,w90,1.4532458386837368
Wine Quality,7,pls_only,cov95,0.825
Wine Quality,7,pls_only,w95,1.7316492226617208
Wine Quality,7,cem_em_coeff,rmse,0.6933244563749058
Wine Quality,7,cem_em_coeff,crps,0.3728662133216858
Wine Quality,7,cem_em_coeff,wall_sec,23.058196800004225
Wine Quality,7,cem_em_coeff,cov90,0.71
Wine Quality,7,cem_em_coeff,w90,1.258536118336008
Wine Quality,7,cem_em_coeff,cov95,0.77
Wine Quality,7,cem_em_coeff,w95,1.4996382807345021
Wine Quality,8,xgb_bootstrap,rmse,0.568825840595801
Wine Quality,8,xgb_bootstrap,crps,0.32213202118873596
Wine Quality,8,xgb_bootstrap,wall_sec,5.64755580000201
Wine Quality,8,xgb_bootstrap,cov90,0.845
Wine Quality,8,xgb_bootstrap,w90,1.6776495163988687
Wine Quality,8,xgb_bootstrap,cov95,0.945
Wine Quality,8,xgb_bootstrap,w95,1.9990426971407529
Wine Quality,8,dkl_svgp,rmse,0.6118462085723877
Wine Quality,8,dkl_svgp,crps,0.3673468828201294
Wine Quality,8,dkl_svgp,wall_sec,7.922427500001504
Wine Quality,8,dkl_svgp,cov90,0.61
Wine Quality,8,dkl_svgp,w90,1.0871077831159164
Wine Quality,8,dkl_svgp,cov95,0.73
Wine Quality,8,dkl_svgp,w95,1.2953688202453275
Wine Quality,8,pls_only,rmse,0.7315229870907488
Wine Quality,8,pls_only,crps,0.38757267594337463
Wine Quality,8,pls_only,wall_sec,18.895077400004084
Wine Quality,8,pls_only,cov90,0.785
Wine Quality,8,pls_only,w90,1.4514810527668316
Wine Quality,8,pls_only,cov95,0.825
Wine Quality,8,pls_only,w95,1.7295463505393132
Wine Quality,8,cem_em_coeff,rmse,0.7335291329992363
Wine Quality,8,cem_em_coeff,crps,0.400724321603775
Wine Quality,8,cem_em_coeff,wall_sec,20.1754809999984
Wine Quality,8,cem_em_coeff,cov90,0.795
