dataset,seed,method,metric,value
Wine Quality,5,cem_em_supervised,mean_crps,0.36497464776039124
Wine Quality,5,cem_em_supervised,wall_sec,405.40925009999773
Wine Quality,5,cem_em_supervised,coverage_90,0.8615384615384616
Wine Quality,5,cem_em_supervised,mean_width_90,1.7725171312623949
Wine Quality,5,cem_em_supervised,coverage_95,0.9
Wine Quality,5,cem_em_supervised,mean_width_95,2.1120844325177424
Wine Quality,6,lmjgp_transductive,rmse,0.6908608118326213
Wine Quality,6,lmjgp_transductive,mean_crps,0.3836040794849396
Wine Quality,6,lmjgp_transductive,wall_sec,403.05964680000034
Wine Quality,6,lmjgp_transductive,coverage_90,0.8307692307692308
Wine Quality,6,lmjgp_transductive,mean_width_90,1.827775342239643
Wine Quality,6,lmjgp_transductive,coverage_95,0.8815384615384615
Wine Quality,6,lmjgp_transductive,mean_width_95,2.177928652082889
Wine Quality,6,cem_em_transductive,rmse,0.7276261120260612
Wine Quality,6,cem_em_transductive,mean_crps,0.4074556231498718
Wine Quality,6,cem_em_transductive,wall_sec,158.96372770000016
Wine Quality,6,cem_em_transductive,coverage_90,0.7061538461538461
Wine Quality,6,cem_em_transductive,mean_width_90,1.2799516026828237
Wine Quality,6,cem_em_transductive,coverage_95,0.76
Wine Quality,6,cem_em_transductive,mean_width_95,1.525156404258376
Wine Quality,6,lmjgp_supervised,rmse,0.6903383202299457
Wine Quality,6,lmjgp_supervised,mean_crps,0.41975706815719604
Wine Quality,6,lmjgp_supervised,wall_sec,391.56119200000103
Wine Quality,6,lmjgp_supervised,coverage_90,0.8446153846153847
Wine Quality,6,lmjgp_supervised,mean_width_90,2.3575678007506933
Wine Quality,6,lmjgp_supervised,coverage_95,0.8892307692307693
Wine Quality,6,lmjgp_supervised,mean_width_95,2.809215303337739
Wine Quality,6,cem_em_supervised,rmse,0.7030731548288369
Wine Quality,6,cem_em_supervised,mean_crps,2.8130875047114677e+28
Wine Quality,6,cem_em_supervised,wall_sec,401.7544590000034
Wine Quality,6,cem_em_supervised,coverage_90,0.816923076923077
Wine Quality,6,cem_em_supervised,mean_width_90,3.959962866256884e+29
Wine Quality,6,cem_em_supervised,coverage_95,0.8676923076923077
Wine Quality,6,cem_em_supervised,mean_width_95,4.7185867914364135e+29
Wine Quality,7,lmjgp_transductive,rmse,0.6565106104645053
Wine Quality,7,lmjgp_transductive,mean_crps,0.3465137779712677
Wine Quality,7,lmjgp_transductive,wall_sec,399.14048999999795
Wine Quality,7,lmjgp_transductive,coverage_90,0.8738461538461538
Wine Quality,7,lmjgp_transductive,mean_width_90,1.8055488749246353
Wine Quality,7,lmjgp_transductive,coverage_95,0.9092307692307692
Wine Quality,7,lmjgp_transductive,mean_width_95,2.151444182749463
Wine Quality,7,cem_em_transductive,rmse,0.7034319602227607
Wine Quality,7,cem_em_transductive,mean_crps,0.3835701644420624
Wine Quality,7,cem_em_transductive,wall_sec,154.3042693000025
Wine Quality,7,cem_em_transductive,coverage_90,0.7276923076923076
Wine Quality,7,cem_em_transductive,mean_width_90,1.2205463651685167
Wine Quality,7,cem_em_transductive,coverage_95,0.7753846153846153
Wine Quality,7,cem_em_transductive,mean_width_95,1.4543706977898423
