dataset,dataset_folder,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,near_threshold,threshold_distance,shock_location,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,3.0,-0.11872729432160786,-0.14974644991436287,-0.031019155592755004,0.36835718154907227,0.6876398921012878,0.3192827105522156,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,4.0,0.137688680325182,0.32596696420515875,0.18827828387997675,0.730478048324585,0.736531674861908,0.006053626537322998,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,5.0,0.028508730337246966,-0.06761376355208358,-0.09612249388933054,0.826001763343811,0.8159869313240051,-0.010014832019805908,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,6.0,-0.27468349687228166,-0.17074906995476716,0.1039344269175145,0.10389061272144318,0.10389061272144318,0.0,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,7.0,0.04396329760888791,-0.04602662121696995,-0.08998991882585786,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,0.0,0.158374170631343,0.017863510414631398,-0.1405106602167116,0.07949713617563248,0.06091151759028435,-0.01858561858534813,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,1.0,-0.07340377860033029,0.02199817121428711,0.0954019498146174,0.2538348436355591,0.25826865434646606,0.004433810710906982,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,2.0,0.16149304821816252,0.03368724847497963,-0.1278057997431829,0.10907306522130966,0.10617780685424805,-0.002895258367061615,0.10959672182798386,0,0.5,0.0,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,3.0,-0.11872729432160786,-0.15338357528145344,-0.034656280959845576,0.36835718154907227,0.6876398921012878,0.3192827105522156,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,4.0,0.137688680325182,0.28292827688378885,0.14523959655860685,0.730478048324585,0.736531674861908,0.006053626537322998,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,5.0,0.028508730337246966,-0.06111717183914597,-0.08962590217639294,0.826001763343811,0.8260018229484558,5.960464477539063e-08,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
