train_size,dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,standardize_x,standardize_y,source_artifact
200,Parkinsons Telemonitoring,3,xgb_bootstrap,subject_grouped,25,raw,200,0,9.623405578109677,7.042953014373779,12.057006600007298,0.215,10.078647423836804,0.305,12.00944913269193,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,3,dkl_svgp,subject_grouped,25,raw,200,0,8.831870135797706,5.7467451095581055,1.648409500005073,0.57,15.008865809174447,0.58,17.88416668375345,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,3,lmjgp_transductive,subject_grouped,25,raw,200,0,9.867388012504797,6.044701099395752,69.48235289999866,0.75,22.422579924617235,0.79,26.71815192101418,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,3,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.142716707988932,6.4542717933654785,68.42878210000345,0.64,19.855744862382068,0.695,23.65957929558264,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,3,lmjgp_supervised,subject_grouped,25,raw,200,0,9.822663654882605,6.108790874481201,70.38997129999916,0.66,20.654080896254253,0.73,24.610855353410365,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,3,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.331003896395721,6.439997673034668,74.17286280001281,0.655,20.541029323683833,0.755,24.476146096001056,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,4,xgb_bootstrap,subject_grouped,25,raw,200,0,9.906303297978926,7.292785167694092,12.0644398000004,0.305,9.81399754697318,0.335,11.694099354045049,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,4,dkl_svgp,subject_grouped,25,raw,200,0,8.46144555119085,5.467236518859863,1.6815767999942182,0.58,14.913717492222352,0.665,17.770790471207807,false,false,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Parkinsons Telemonitoring,4,lmjgp_transductive,subject_grouped,25,raw,200,0,9.233552876703012,5.819273471832275,72.01843609998468,0.695,21.540098210704926,0.755,25.666610101156962,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,4,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.864843579295751,6.349761486053467,67.87042710001697,0.605,19.50065605555933,0.695,23.23646488510726,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,4,lmjgp_supervised,subject_grouped,25,raw,200,0,9.60797036765284,6.079779624938965,67.74309190001804,0.645,20.427999212269953,0.745,24.341462411137048,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Parkinsons Telemonitoring,4,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.734085749053238,6.1491379737854,71.48305889999028,0.635,19.69883632620007,0.715,23.472611242775667,true,false,experiments/uci/parkinsons_grouped_stdx_lmjgp_train200_5seeds
200,Appliances Energy Prediction,0,xgb_bootstrap,random_row,35,raw,200,0,103.25991124490987,41.900306701660156,12.93778019999445,0.865,123.5756949164965,0.9,147.24952265189506,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,0,dkl_svgp,random_row,35,raw,200,0,105.86819606177424,46.41458511352539,1.441989900005865,0.47,36.924322249371045,0.52,43.998043702191005,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,0,lmjgp_transductive,random_row,35,raw,200,0,108.17181976176013,42.02265930175781,222.27191270000185,0.865,140.12635717241776,0.885,166.97085311581796,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,0,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,104.34318436705841,44.072425842285156,85.6613081000105,0.81,129.39147262453773,0.85,154.17944921987655,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,0,lmjgp_supervised,random_row,35,raw,200,0,107.50722342999093,42.51959991455078,218.72394219999842,0.835,126.94201869031662,0.855,151.2607448353648,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,103.7479222184739,44.30788040161133,85.57977720000781,0.81,142.74350469981655,0.85,170.0893767411916,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,xgb_bootstrap,random_row,35,raw,200,0,108.08012831323249,47.474552154541016,12.05311699998856,0.86,184.52558486210125,0.885,219.8757960160901,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,dkl_svgp,random_row,35,raw,200,0,127.2326751615905,59.16579055786133,1.6235974000010174,0.5,51.19611519194711,0.56,61.00393389444167,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,lmjgp_transductive,random_row,35,raw,200,0,122.1217318143325,51.3575553894043,227.67444639999303,0.8,168.59391395392086,0.855,200.89203923558517,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,109.95804354377061,53.97880935668945,87.21404059999622,0.77,172.79788934314868,0.81,205.9013848817692,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,lmjgp_supervised,random_row,35,raw,200,0,123.41648201036169,53.51145935058594,223.63104079999903,0.8,181.68829040281045,0.84,216.49495114173394,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,1,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,106.6016973112177,51.285362243652344,84.10933269999805,0.785,181.5643875236548,0.825,216.34731175501474,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,xgb_bootstrap,random_row,35,raw,200,0,105.26541817642494,46.527767181396484,12.093244600007893,0.905,189.9371814108317,0.905,226.3241110275789,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,dkl_svgp,random_row,35,raw,200,0,126.28496855814089,66.21959686279297,1.66369780000241,0.435,47.96707934699205,0.495,57.15630036815011,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,lmjgp_transductive,random_row,35,raw,200,0,109.66240766737582,46.092742919921875,228.44231719999516,0.805,158.70639318030578,0.855,189.1103315534287,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,99.47528204136569,49.739253997802734,86.67883910000091,0.765,161.24340946553454,0.825,192.13337291453493,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,lmjgp_supervised,random_row,35,raw,200,0,100.49938704273289,42.794185638427734,224.45678269999917,0.835,164.36543109335318,0.86,195.85349113613043,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,2,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,104.46076491449715,52.00814437866211,84.78751330001978,0.745,174.50696971202768,0.785,207.93787974964116,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,xgb_bootstrap,random_row,35,raw,200,0,109.80361164739253,48.1730842590332,12.105792000002111,0.85,177.95917660419093,0.865,212.0514379805709,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,dkl_svgp,random_row,35,raw,200,0,123.58548375137276,60.4993896484375,1.6499361000023782,0.49,44.7877047549254,0.54,53.36784187451407,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,lmjgp_transductive,random_row,35,raw,200,0,106.59487540560256,45.67610168457031,202.19036870000127,0.78,142.9366697500867,0.82,170.31954709519633,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,112.96135106975134,52.92525863647461,85.28938340002787,0.75,174.57539636927322,0.82,208.019415140746,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,lmjgp_supervised,random_row,35,raw,200,0,108.56236111079131,46.754798889160156,206.15372570000181,0.81,173.31727452094646,0.85,206.52027049317414,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,3,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,108.029972130042,50.41667938232422,88.6946917999885,0.75,157.5713886362688,0.825,187.75789022238772,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,xgb_bootstrap,random_row,35,raw,200,0,93.60234134251428,40.89268112182617,12.083930900000269,0.925,172.48607287531857,0.94,205.52983264349118,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,dkl_svgp,random_row,35,raw,200,0,115.05348613258109,55.6435546875,1.578805299999658,0.5,50.00662235893213,0.53,59.58656576248287,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,lmjgp_transductive,random_row,35,raw,200,0,97.00116901143922,40.01850509643555,228.09916820000217,0.875,183.50310418189292,0.915,218.65743513870882,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,92.72436065920188,41.2068977355957,89.77266590000363,0.82,152.8313193526657,0.86,182.10974930099448,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,lmjgp_supervised,random_row,35,raw,200,0,94.70602510915319,39.3143424987793,228.9168689999933,0.88,167.69261401755364,0.9,199.81807412063327,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
200,Appliances Energy Prediction,4,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,92.06461024958521,40.306114196777344,86.89098070000182,0.825,157.36295476912528,0.855,187.50952595090124,true,true,experiments/uci/smalltrain_multiseed_grouped_5seeds_with_residual
500,Wine Quality,0,xgb_bootstrap,random_row,25,raw,200,0,0.698256314247014,0.4131523072719574,5.0560016999952495,0.61,1.2391746178952223,0.7,1.4765676299915975,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,0,dkl_svgp,random_row,25,raw,200,0,0.7804383818384943,0.5593961477279663,1.4083142000017688,0.22,0.5085814553270221,0.27,0.6060121820647194,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,0,lmjgp_transductive,random_row,25,raw,200,0,0.7008608033954251,0.3984736204147339,44.05749760000617,0.835,2.0766669966461855,0.89,2.4745013505262903,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,0,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7118809029892164,0.4001103639602661,44.48501989999204,0.815,1.9485721594570071,0.9,2.3218669377234793,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,0,lmjgp_supervised,random_row,25,raw,200,0,0.7135346796163484,0.3996134102344513,44.1283742999949,0.82,2.0049663868694507,0.895,2.389064804362352,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,0,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.6968397612006003,0.39499831199645996,53.07276819998515,0.805,1.8836693765852714,0.865,2.2445305019211115,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,xgb_bootstrap,random_row,25,raw,200,0,0.713977242994686,0.42117318511009216,7.092653200001223,0.665,1.3058871362819076,0.75,1.5560604986660014,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,dkl_svgp,random_row,25,raw,200,0,0.8754242176254871,0.5959826111793518,1.1226926000090316,0.24,0.5074666707957338,0.29,0.6046838343649324,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,lmjgp_transductive,random_row,25,raw,200,0,0.7200541074261924,0.3981357216835022,49.63541489999625,0.875,2.1351773455119307,0.92,2.544220731400488,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7744049689742154,0.42904895544052124,48.338850100000855,0.8,1.9425502172652533,0.85,2.314691351021157,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,lmjgp_supervised,random_row,25,raw,200,0,0.7422221828043852,0.41290292143821716,47.19004790001782,0.845,2.073736594568102,0.92,2.471009561081226,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,1,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7540671439096371,0.42639482021331787,43.64064420000068,0.795,1.9619482482915152,0.87,2.3378055306414605,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,xgb_bootstrap,random_row,25,raw,200,0,0.715726138297178,0.4114200472831726,4.5496741000097245,0.68,1.2495647671513155,0.765,1.4889482564511574,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,dkl_svgp,random_row,25,raw,200,0,0.8218927266987923,0.5777208209037781,1.2081826999783516,0.255,0.45081142393178014,0.3,0.5371749438660387,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,lmjgp_transductive,random_row,25,raw,200,0,0.7310562836706386,0.40260183811187744,45.5516661000147,0.88,2.1051503990055362,0.895,2.508441417816629,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7173236564172442,0.40031418204307556,44.84149680001428,0.845,1.9692770661191148,0.88,2.3465383557123287,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,lmjgp_supervised,random_row,25,raw,200,0,0.7461593606660856,0.40574362874031067,45.20428360000369,0.885,2.1330723406962373,0.91,2.541712463455887,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
500,Wine Quality,2,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7134687318698791,0.3964945077896118,60.13360659999307,0.845,1.9880962395842152,0.875,2.3689627840055443,true,false,experiments/uci/smalltrain_multiseed_grouped_train500_5seeds_with_residual
