dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_transductive,52.0,0.23680921773736943,0.07891291950239672,-0.1578962982349727,0.30000001192092896,0.4000000059604645,0.09999999403953552,0.4399999976158142,52,,70014.8359375,1.0000016689300537,26.703969955444336,2.9452130794525146,1.4449706077575684,32.55363655090332,41.428314208984375
Wine Quality,0,lmjgp_transductive,53.0,-0.06606148334701971,-0.09691514357162397,-0.030853660224604257,0.8999999761581421,0.949999988079071,0.050000011920928955,1.0,53,,33139.609375,1.0000003576278687,30.08724021911621,2.781785488128662,1.2163538932800293,37.68600273132324,38.02406311035156
Wine Quality,0,lmjgp_transductive,54.0,-0.0037067797554485543,-0.06528938427898125,-0.061582604523532695,0.800000011920929,0.800000011920929,0.0,0.7599999904632568,54,,6451.15087890625,1.00004243850708,25.622222900390625,2.979727029800415,1.5230835676193237,31.392135620117188,34.50763702392578
Wine Quality,0,lmjgp_transductive,55.0,0.1627798182974029,0.13199641613320506,-0.030783402164197837,0.5,0.6000000238418579,0.10000002384185791,0.6800000071525574,55,,23778746.0,1.0,26.67713737487793,2.9462227821350098,1.223976492881775,28.512154579162598,35.498924255371094
Wine Quality,0,lmjgp_transductive,56.0,0.060933011751193096,-0.016938531397458143,-0.07787154314865125,0.4000000059604645,0.5,0.09999999403953552,0.5199999809265137,56,,8798.3759765625,1.0000011920928955,31.332778930664062,2.7131290435791016,1.226447343826294,37.85860633850098,33.95743942260742
Wine Quality,0,lmjgp_transductive,57.0,-0.13092712589215283,-0.12720053067674184,0.003726595215410994,0.6000000238418579,0.699999988079071,0.09999996423721313,0.6000000238418579,57,,6147.32080078125,1.000680923461914,23.229175567626953,2.9909989833831787,9.00084114074707,29.30588722229004,35.80576705932617
Wine Quality,0,lmjgp_transductive,58.0,0.07989694048051198,0.1074336720876207,0.02753673160710872,1.7000000476837158,1.600000023841858,-0.10000002384185791,1.7599999904632568,58,,178.01669311523438,nan,24.128528594970703,2.999999761581421,1.0006036758422852,14.055840492248535,101.00065612792969
Wine Quality,0,lmjgp_transductive,59.0,0.06434541156498351,-0.0629518420853603,-0.1272972536503438,0.8999999761581421,1.0,0.10000002384185791,1.0,59,,1346.90576171875,1.0001312494277954,23.80344009399414,2.998903274536133,1.1826211214065552,37.29985809326172,46.803863525390625
Wine Quality,0,lmjgp_transductive,60.0,0.15724608984739177,-0.028516369550343153,-0.18576245939773492,0.30000001192092896,0.4000000059604645,0.09999999403953552,0.4399999976158142,60,,4922.59765625,1.0000008344650269,29.508129119873047,2.813009023666382,1.0718430280685425,33.6689338684082,33.1865234375
Wine Quality,0,lmjgp_transductive,61.0,-0.00025480925603433316,0.016316297033729485,0.01657110628976382,0.6000000238418579,0.6500000059604645,0.04999998211860657,0.6000000238418579,61,,18767.068359375,1.0000033378601074,25.131200790405273,2.9904801845550537,1.946455955505371,31.301176071166992,29.293745040893555
