dataset,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
Wine Quality,0,lmjgp_supervised,2.0,0.0794440193552464,-0.06181150972380512,-0.14125552907905153,0.4000000059604645,0.6500000059604645,0.25,0.5833333134651184,2,,2.0001325607299805,2.1216511726379395,34.00802993774414,2.9999985694885254,2.2222423553466797,222.7456283569336,330.5113830566406
Wine Quality,0,lmjgp_supervised,3.0,-0.06348407437195118,-0.08060856322937049,-0.01712448885741931,0.30000001192092896,0.4000000059604645,0.09999999403953552,0.3333333432674408,3,,1.9569120407104492,2.247745990753174,34.053993225097656,3.0,1.210442304611206,155.2164306640625,333.61761474609375
Wine Quality,0,lmjgp_supervised,4.0,0.28674750587299364,0.04659499883828448,-0.24015250703470914,0.4000000059604645,0.3500000089406967,-0.04999999701976776,0.3333333432674408,4,,1.872488021850586,2.31728458404541,34.05504608154297,2.999999761581421,1.4254953861236572,217.05319213867188,334.0741271972656
Wine Quality,0,lmjgp_supervised,5.0,-0.03517272185097746,-0.05955211369854551,-0.02437939184756805,0.30000001192092896,0.30000001192092896,0.0,0.25,5,,2.8825650215148926,1.9927030801773071,34.055267333984375,3.000000238418579,1.584205985069275,113.89381790161133,334.8268127441406
Wine Quality,0,lmjgp_supervised,6.0,-0.05770518011104838,-0.028906849733426845,0.028798330377621535,1.5,1.600000023841858,0.10000002384185791,1.5833333730697632,6,,2.9527781009674072,2.048245668411255,34.050559997558594,3.0,1.4087669849395752,209.4240493774414,334.4627990722656
Wine Quality,0,lmjgp_supervised,7.0,-0.1384035907318416,-0.01027851493279756,0.12812507579904406,0.8999999761581421,0.949999988079071,0.050000011920928955,1.0,7,,2.3874564170837402,2.191805839538574,34.053409576416016,3.0000007152557373,2.1737027168273926,188.48878479003906,334.3237609863281
Wine Quality,0,cem_em_transductive,0.0,-0.24843026330090118,-0.26507389914988794,-0.01664363584898676,0.4000000059604645,0.4000000059604645,0.0,0.3333333432674408,,,,,,,,,
Wine Quality,0,cem_em_transductive,1.0,-0.04167662122754642,0.1186927895113381,0.16036941073888453,0.6000000238418579,0.5,-0.10000002384185791,0.5833333134651184,,,,,,,,,
Wine Quality,0,cem_em_transductive,2.0,0.0794440193552464,0.22153556023727974,0.14209154088203335,0.4000000059604645,0.5,0.09999999403953552,0.5833333134651184,,,,,,,,,
Wine Quality,0,cem_em_transductive,3.0,-0.06348407437195118,0.052152309961447936,0.11563638433339912,0.30000001192092896,0.30000001192092896,0.0,0.3333333432674408,,,,,,,,,
Wine Quality,0,cem_em_transductive,4.0,0.28674750587299364,0.39312979399375914,0.1063822881207655,0.4000000059604645,0.4000000059604645,0.0,0.3333333432674408,,,,,,,,,
Wine Quality,0,cem_em_transductive,5.0,-0.03517272185097746,0.1829386718272541,0.21811139367823157,0.30000001192092896,0.20000000298023224,-0.10000000894069672,0.25,,,,,,,,,
Wine Quality,0,cem_em_transductive,6.0,-0.05770518011104838,-0.008504181535845316,0.04920099857520306,1.5,1.600000023841858,0.10000002384185791,1.5833333730697632,,,,,,,,,
