dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,3,lmjgp_transductive,random_row,25,raw,200,0,0.7608908094342175,0.4349426329135895,131.94137240000418,0.835,2.0817637848015504,0.89,2.4805745482003347
Wine Quality,3,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.770637919524356,0.4345046579837799,116.85445330000948,0.8,1.9363272176647217,0.865,2.3072761896396212
Wine Quality,3,lmjgp_supervised,random_row,25,raw,200,0,0.7911331004830616,0.45329907536506653,118.22241490002489,0.805,2.1258623607226075,0.885,2.5331212424219762
Wine Quality,3,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7556510162864324,0.4320136308670044,125.36102199999732,0.8,1.9360799315129598,0.855,2.306981530015575
Wine Quality,4,xgb_bootstrap,random_row,25,raw,200,0,0.753646646186264,0.4333241581916809,14.260074600024382,0.67,1.2581426082732614,0.725,1.4991693845738343
Wine Quality,4,dkl_svgp,random_row,25,raw,200,0,0.8160262428893734,0.5638796091079712,2.2182896000158507,0.235,0.48047275382935817,0.285,0.5725185983896088
Wine Quality,4,lmjgp_transductive,random_row,25,raw,200,0,0.7876397683634874,0.4448188841342926,106.803490899998,0.795,1.9604837286165466,0.835,2.336060447814298
Wine Quality,4,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7582093265219438,0.4258304536342621,118.26493880001362,0.785,1.858913014239037,0.83,2.2150314767240964
Wine Quality,4,lmjgp_supervised,random_row,25,raw,200,0,0.7873346449332286,0.4422212541103363,104.72078120001242,0.78,1.9445989422393704,0.835,2.317132557398249
Wine Quality,4,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.763035790799106,0.4312964975833893,123.6929616999987,0.765,1.8837388457498236,0.835,2.2446132795362903
Parkinsons Telemonitoring,0,xgb_bootstrap,subject_grouped,25,raw,200,0,8.438477738345732,6.11039924621582,17.621447000012267,0.31,7.720720525595169,0.35,9.19980593830197
Parkinsons Telemonitoring,0,dkl_svgp,subject_grouped,25,raw,200,0,7.105870173514586,4.104738712310791,2.283023600000888,0.795,16.067398678539888,0.82,19.145486394160297
