train_size,dataset,seed,method,split_type,standardize_x,standardize_y,cal_frac,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,interval_score_90,interval_score_95,qhat_90,qhat_95,cal_coverage_before_90,cal_coverage_before_95,cal_score_mean_90,cal_score_mean_95,n_fit,n_cal,x_scaler_fit,y_scaler_fit,mean_model_train_rows
500,Wine Quality,3,xgb_cqr,random_row,True,False,0.2,0.7243343655572471,nan,2.085972100001527,0.925,2.649828748703003,0.985,4.024529876708985,3.62482102394104,4.332368698120117,0.5148591995239258,1.0477919578552246,0.64,0.82,-0.1899162006378174,-0.34261781692504883,400,100,proper_train,none,500
500,Wine Quality,4,xgb_cqr,random_row,True,False,0.2,0.7917670526228728,nan,2.1202446999959648,0.85,2.0369647538661955,0.9,3.109997832775116,3.6239050900936127,4.5716111063957205,0.20347261428833008,0.5917034149169922,0.77,0.85,-0.30242778778076174,-0.43190755844116213,400,100,proper_train,none,500
500,Parkinsons Telemonitoring,0,xgb_cqr,subject_grouped,False,False,0.2,9.01230187964086,nan,2.260075899976073,0.88,22.001574263572692,0.96,28.37864017724991,26.404355619316103,31.386085900974273,3.31072998046875,4.549668670654297,0.61,0.69,-1.0439934598846434,-2.3266214143676756,400,100,none,none,500
500,Parkinsons Telemonitoring,1,xgb_cqr,subject_grouped,False,False,0.2,9.839313614114634,nan,2.2203764999867417,0.75,18.708127272129058,0.955,25.25215693473816,25.972169820652006,30.949177006149284,2.243179782104492,2.985952667236326,0.68,0.81,-1.6029459633712768,-3.29990626889038,400,100,none,none,500
500,Parkinsons Telemonitoring,2,xgb_cqr,subject_grouped,False,False,0.2,10.028875799784892,nan,2.2225133999891113,0.71,20.626049461364747,0.845,27.506959886550902,40.05521755615235,41.75036571388244,3.3005607452392596,5.524998664855957,0.6,0.73,-0.6907734324798582,-1.9127845845184326,400,100,none,none,500
500,Parkinsons Telemonitoring,3,xgb_cqr,subject_grouped,False,False,0.2,9.141632302812198,nan,2.2430732999928296,0.615,17.54563246011734,0.75,21.986101891994476,45.7482610595131,48.7366979247093,1.7516306610107417,2.692148318481445,0.72,0.86,-2.0012639168548585,-3.041289053001404,400,100,none,none,500
500,Parkinsons Telemonitoring,4,xgb_cqr,subject_grouped,False,False,0.2,10.264371261552045,nan,2.206444699986605,0.58,16.193625135421755,0.81,23.384333744049073,45.4856193447113,47.932299901123024,2.200549104309082,2.4612297668457046,0.56,0.81,-0.9238981203460692,-3.3575030835342403,400,100,none,none,500
500,Appliances Energy Prediction,0,xgb_cqr,random_row,True,True,0.2,101.86869506778835,nan,2.199548100004904,0.955,346.90310106552016,0.96,459.43334723863666,522.356964293723,661.2747376543297,0.9706642013390803,1.1495522838433527,0.68,0.75,0.05444671193990508,-0.09450113738675064,400,100,proper_train,proper_train,500
500,Appliances Energy Prediction,1,xgb_cqr,random_row,True,True,0.2,117.10673858534626,nan,2.2612530999758746,0.915,275.05479097146673,0.975,599.6832398558403,574.8765591909937,740.4413617443656,0.8890630073182963,2.2702446033006307,0.8,0.82,0.026169813566791142,-0.09078297503642715,400,100,proper_train,proper_train,500
500,Appliances Energy Prediction,2,xgb_cqr,random_row,True,True,0.2,90.29743703922027,nan,2.2722172000212595,0.97,502.64207666361426,0.99,880.8220185655373,569.7776337670794,888.3626852750181,1.6776545219635786,3.141925090371056,0.71,0.73,0.20191433602592582,0.07777539717227727,400,100,proper_train,proper_train,500
500,Appliances Energy Prediction,3,xgb_cqr,random_row,True,True,0.2,98.54230940053056,nan,2.2262709999922663,0.94,379.63599623667113,0.99,658.4158013436603,529.5583662723203,739.7645702950056,0.9897169207985954,1.8301831878476635,0.62,0.75,0.07552056841920325,-0.05592057088610662,400,100,proper_train,proper_train,500
500,Appliances Energy Prediction,4,xgb_cqr,random_row,True,True,0.2,89.25917725044849,nan,2.2067770000139717,0.95,213.22436440923812,0.975,397.99420968201576,375.0472656058589,564.9814964988961,0.3143613425742393,0.8540239248919352,0.68,0.84,-0.031646790346363564,-0.18365186709783937,400,100,proper_train,proper_train,500
1000,Wine Quality,0,xgb_cqr,random_row,True,False,0.2,0.6862598605495186,nan,1.985310500022024,0.905,2.3692687821388243,0.95,3.6111913645267486,3.3431796860694885,4.6785659754276265,0.40375328063964844,0.2465519905090332,0.695,0.91,-0.12302410125732421,-0.6914193725585938,800,200,proper_train,none,1000
1000,Wine Quality,1,xgb_cqr,random_row,True,False,0.2,0.734373577141538,nan,2.1207512999826577,0.89,2.1053866016864777,0.95,3.2820934081077575,3.3612391102313994,4.206618669033049,0.17726516723632812,0.5079202651977539,0.825,0.89,-0.3302242588996887,-0.5471640348434448,800,200,proper_train,none,1000
1000,Wine Quality,2,xgb_cqr,random_row,True,False,0.2,0.7002007112748169,nan,2.0392185999953654,0.91,2.4872774577140806,0.945,3.7136502289772033,3.588599154949188,4.196041204929351,0.37969303131103516,0.7575898170471191,0.765,0.85,-0.28616167545318605,-0.4967701482772827,800,200,proper_train,none,1000
1000,Wine Quality,3,xgb_cqr,random_row,True,False,0.2,0.6943911925213496,nan,1.8141641000111122,0.94,3.014534908533096,0.97,3.8406614208221437,3.4143599569797516,4.252338018417358,0.6610126495361328,0.31314611434936523,0.68,0.885,-0.16305673837661744,-0.6944772219657898,800,200,proper_train,none,1000
1000,Wine Quality,4,xgb_cqr,random_row,True,False,0.2,0.698882114041839,nan,2.0966936000040732,0.93,2.9799248337745667,0.965,3.623730413913727,3.302020990848541,3.812698881626129,0.6516633033752441,0.7742080688476562,0.725,0.785,-0.1664949584007263,-0.35536502599716185,800,200,proper_train,none,1000
1000,Parkinsons Telemonitoring,0,xgb_cqr,subject_grouped,False,False,0.2,9.354099307287235,nan,2.2758575000043493,0.86,18.915101075172423,0.94,25.296843190193176,28.936630400428772,30.647490273933403,1.9999824829101556,3.1477833892822265,0.675,0.78,-1.3676855082969663,-2.4012815691452025,800,200,none,none,1000
1000,Parkinsons Telemonitoring,1,xgb_cqr,subject_grouped,False,False,0.2,9.907174711666752,nan,2.330359599989606,0.7,17.627580051422118,0.85,21.456876018047332,29.841211667785647,35.353715524425496,1.6011683578491214,2.1771588592529305,0.75,0.86,-1.5356366901473997,-2.717929801376343,800,200,none,none,1000
1000,Parkinsons Telemonitoring,2,xgb_cqr,subject_grouped,False,False,0.2,10.73261035293935,nan,2.312815999990562,0.6,15.775530042648315,0.675,19.868097534179686,50.94809071098328,55.95281631774898,1.15203857421875,2.2286444854736303,0.72,0.83,-1.6772671555213927,-2.801075652149201,800,200,none,none,1000
1000,Parkinsons Telemonitoring,3,xgb_cqr,subject_grouped,False,False,0.2,9.46627363523928,nan,2.2403857999888714,0.5,17.169040319919585,0.665,20.738219690322875,54.979732078037266,62.67498430000302,1.4062906494140641,1.6285781715393064,0.715,0.86,-1.349402447555542,-2.503872232311249,800,200,none,none,1000
1000,Parkinsons Telemonitoring,4,xgb_cqr,subject_grouped,False,False,0.2,10.314386164290442,nan,2.316411200008588,0.585,17.558036394119263,0.8,21.945539569854738,36.78426628471375,37.80457373916625,1.7887546112060555,2.670353698730466,0.69,0.785,-1.309729255737305,-2.193288581985474,800,200,none,none,1000
1000,Appliances Energy Prediction,0,xgb_cqr,random_row,True,True,0.2,99.05720269401144,nan,2.3299564000044484,0.875,184.12576271528854,0.945,294.17244046565963,454.7573125570452,551.3453559021759,0.13988807144178173,0.16440509176814916,0.795,0.895,-0.12170515205383105,-0.2677484392322619,800,200,proper_train,proper_train,1000
1000,Appliances Energy Prediction,1,xgb_cqr,random_row,True,True,0.2,111.81302634540376,nan,0.7563067000010051,0.905,188.08933900363917,0.96,463.9488025688645,523.2192830310566,619.6939660506271,0.28673970491057665,1.1805113427680825,0.76,0.855,-0.04123091130633808,-0.2179386469579714,800,200,proper_train,proper_train,1000
1000,Appliances Energy Prediction,2,xgb_cqr,random_row,True,True,0.2,87.93771004481364,nan,0.6375404999998864,0.88,201.52139831058957,0.97,420.5190300933874,444.0605708459345,585.06270244521,0.1431830020592586,0.7135421412152638,0.77,0.835,0.014638732914084424,-0.10319463868375109,800,200,proper_train,proper_train,1000
1000,Appliances Energy Prediction,3,xgb_cqr,random_row,True,True,0.2,103.62088891126803,nan,0.6309907000104431,0.925,235.7853828754577,0.96,336.0251437738445,415.72738694431735,538.3860201510018,0.27257214132974783,0.23123533670137564,0.725,0.83,-0.05882721026703233,-0.2009327450261373,800,200,proper_train,proper_train,1000
1000,Appliances Energy Prediction,4,xgb_cqr,random_row,True,True,0.2,91.86984722200764,nan,0.6414769999973942,0.94,215.5003616893769,0.975,431.6572413748272,395.8196797034213,571.1338234151077,0.43072100840599714,1.2194371139550633,0.785,0.81,-0.04622050870398109,-0.16305156011873798,800,200,proper_train,proper_train,1000
